status_key,status_value,evidence,notes
F7X7_USER_GUIDE_DRAFT_COMPLETE,YES,"reports/aging/aging_F7X7_user_observable_guide_draft.md","Draft user-facing guide"
F7X7_FINAL_NAMING_CONTRACT_WRITTEN,NO,"Guide explicitly not final naming contract",""
F7X7_FINAL_NAMES_SELECTED,NO,"No final names selected",""
F7X7_ARTIFACTS_RENAMED,NO,"Additive artifacts only",""
F7X7_CODE_REFACTORED,NO,"No code changes",""
F7X7_MATLAB_RUN,NO,"",""
F7X7_PYTHON_RUN,NO,"",""
F7X7_REPLAY_RUN,NO,"",""
F7X7_TAU_EXTRACTION_RUN,NO,"",""
F7X7_RATIO_EXECUTED,NO,"",""
F7X7_PHYSICS_CLAIMS_MADE,NO,"Faithful summary only",""
F7X7_SWITCHING_TOUCHED,NO,"Aging reports tables only",""
F7X7_RELAXATION_TOUCHED,NO,"Aging reports tables only",""
F7X7_MT_TOUCHED,NO,"Aging reports tables only",""
F7X7_TRACK_LABEL_WARNING_INCLUDED,YES,"Guide section Track A/B warning",""
F7X7_BRIDGE_WARNING_INCLUDED,YES,"Guide bridge/export observables",""
F7X7_TAU_METADATA_WARNING_INCLUDED,YES,"Guide tau metadata warning",""
F7X7_SIGN_MAGNITUDE_WARNING_INCLUDED,YES,"Guide sign and magnitude warning",""
F7X7_BACKGROUND_BASELINE_RESIDUAL_WARNING_INCLUDED,YES,"Guide background baseline residual warning",""
F7X7_READY_FOR_DOCS_PROMOTION,PARTIAL,"Readable draft; inherits F7X5 blockers","Promote after editorial pass blockers unchanged"
F7X7_NEXT_SAFE_STEP,"EDITORIAL_REVIEW_THEN_OPTIONAL_ARCHIVE_COMMIT_AFTER_F7X5_BLOCKER_PROGRESS","F7X5 open blockers B-001..B-006","Align UI copy with F7X7 cheatsheet when tooling exists"
