field,value
TASK_COMPLETED,YES
FIX01C_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
FULL_RUN_COMMITTED,NO
COMPACT_EVIDENCE_BUNDLE_WRITTEN,YES
DATASET_LINEAGE_EVIDENCE_PROMOTED,YES
SOURCE_TOKEN_MAPPING_WRITTEN,YES
PROMOTED_BUNDLE_MANIFEST_WRITTEN,YES
SHARED_DATASET_IDENTITY_SUPPORTED,YES
SOURCE_DATASET_ID_SUPPORTED,YES
SOURCE_RUN_TOKEN_SUPPORTED,YES
REQUIRED_COLUMNS_SUPPORTED,YES
DIP_AND_FM_SHARED_UPSTREAM_SUPPORTED,YES
LOCAL_RUN_DEPENDENCY_REMAINS,PARTIAL
DATASET_LINEAGE_BLOCKER_CLOSED_AFTER_FIX01C,YES
DATASET_LINEAGE_BLOCKER_STATUS_AFTER_FIX01C,CLOSED
DIP_TAU_CANONICAL_READY_AFTER_FIX01C,PARTIAL
FM_TAU_CANONICAL_READY_AFTER_FIX01C,PARTIAL
TAU_CANONICAL_SET_READY_AFTER_FIX01C,NO
SAFE_TO_USE_TAU_AS_CANONICAL_EVIDENCE_AFTER_FIX01C,NO
SAFE_TO_RUN_RATIOS_AFTER_FIX01C,NO
SAFE_TO_RUN_COMPARISON_RUNNER_AFTER_FIX01C,NO
READY_FOR_FIX02_DIP_BRANCH,YES
READY_FOR_FIX03_FM_BRANCH,YES
READY_FOR_ARCHIVE_COMMIT,YES
