term,resolved_category,where_seen,definition_summary,objects_using_it,branch_or_stage,contract_allowed_label,contract_warning,resolution_status,notes
DeltaM_smooth,smooth_component,Aging/models/analyzeAFM_FM_components.m,sgolay smooth of working DeltaM for FM-like split,DeltaM_sharp dip_signed AFM window metrics,stage4_direct,SMOOTH_COMPONENT_DELTA_M_OBSERVABLE,Smooth built from dM not DeltaM_signed unless equal,RESOLVED,""
dM_sharp,subtraction_residual,same,dM minus smooth legacy sharp residual,AFM_amp AFM_area AFM_RMS dipVals,stage4_direct,SHARP_RESIDUAL_DELTA_M_OBSERVABLE,Not canonical signed dip,RESOLVED,""
dip_signed,subtraction_residual,same,DeltaM_signed minus same smooth,dip layer canonical signed,stage4_direct,SIGNED_DIP_RESIDUAL,Requires DeltaM_signed trace,RESOLVED,""
plateau_levels_FM,reference_level,same computeFMFromBases,left right plateau means medians outside dip for FM_step,FM_step_raw FM_signed FM_abs,stage4_direct,PLATEAU_REFERENCE_FM,Variant robust vs core,RESOLVED,""
derivative_median_baseline,reference_level,Aging/models/analyzeAFM_FM_derivative.m,median of dM_smooth outside dip window for baseL baseR,FM_step_raw derivative path,stage4_derivative,DERIVATIVE_MEDIAN_BASELINE_ON_SMOOTH,Overrides FM from nested direct copy,RESOLVED,""
derivative_dMdT,diagnostic,Aging/models/analyzeAFM_FM_derivative.m,gradient of dM_smooth wrt T,result.diagnostics.dMdT,stage4_derivative,DERIVATIVE_DIAGNOSTIC_dMdT,Not a consolidation column by default,RESOLVED,""
Gaussian_fit_background,fit_plateau,Aging/pipeline/stage5_fitFMGaussian.m via callee,parametric FM step plus Gaussian dip not same as DeltaM_smooth,FM_step_A Dip_A FM_E,stage5,STAGE5_FIT_PARAMETRIC,Do not alias to Dip_depth; callee not line-audited,PARTIAL,Callee fitFMstep_plus_GaussianDip not opened line-by-line in F7X4
FM_like_energy_window,fit_plateau,Aging/pipeline/stage6_extractMetrics.m,FM_E from stage5 tanh window,FM_like vector,stage6,STAGE6_FM_LIKE_FROM_FM_E,Not FM_abs,RESOLVED,""
AFM_like_area_summary,fit_plateau,stage6,Dip_area_selected per cfg height area,Dip_area_selected path,stage6,STAGE6_AFM_LIKE_FROM_DIP_AREA_SELECTED,Not Dip_depth,RESOLVED,""
colloquial_background,colloquial_only,headers in analyzeAFM_FM_*.m,"English FM-like smooth wording",documentation only,multi,COLLOQUIAL_DO_NOT_USE_ALONE,Maps to DeltaM_smooth or fit context,RESOLVED,"Contract ban unqualified background",""
extrema_M_s_smooth,smooth_component,Aging/models/analyzeAFM_FM_extrema_smoothed.m,movmean 11 on DeltaM trace,FM_extrema_smoothed AFM_extrema_smoothed,stage4_extrema,EXTREMA_MOVMEAN_SMOOTH,Not sgolay smooth of direct branch,RESOLVED,""
