key,value
F7P_LINEAGE_PLANNING_COMPLETE,YES
F7P_READ_F7N_ARTIFACTS,YES
F7P_READ_F7O_A_ARTIFACTS,YES
F7P_READ_F7O_B_ARTIFACTS,YES
F7P_READ_F7O_CLOSURE_ARTIFACTS,YES
F7P_LINEAGE_BLOCKERS_IDENTIFIED,YES
F7P_MODEL_USE_GATE_DEFINED,YES
F7P_R_AGE_PREREQUISITE_GATE_DEFINED,YES
F7P_READY_FOR_LINEAGE_RESOLUTION_EXECUTION,YES
F7P_READY_FOR_R_AGE_OR_CLOCK_RATIO_WRITER,NO_PENDING_FM_TAU_LINEAGE_RESOLUTION
F7P_SAFE_FOR_MODEL_USE,NO
F7P_SAFE_FOR_PHYSICS_CLAIMS,NO
F7P_NEXT_SAFE_STEP,F7Q_FM_TAU_LINEAGE_RESOLUTION_EXECUTION_OR_AUDIT
NO_CODE_EDITED,YES
NO_MATLAB_RUN,YES
NO_DATASET_REBUILD,YES
NO_DIP_TAU_RERUN,YES
NO_FM_TAU_RERUN,YES
NO_CLOCK_RATIO_WRITER_RUN,YES
NO_PHYSICS_FITTING,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_BRANCH_RANKING,YES
NO_CANONICAL_BRANCH_SELECTION,YES
NO_CROSS_MODULE_SYNTHESIS,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
