lineage_item,answer,evidence_artifact_or_code,status,notes
Where is AFM_like produced?,stage6_extractMetrics writes state.summary.AFM_like from pauseRuns and cfg branch,Aging/pipeline/stage6_extractMetrics.m lines 219-277,LOCKED,Extrema mode replaces fit definitions
Where is FM_like produced?,stage6_extractMetrics writes state.summary.FM_like; default equals FM_E vector,Aging/pipeline/stage6_extractMetrics.m lines 262-277,LOCKED,Summary lane label not a second independent fit
Where is Dip_area_selected produced?,stage5_fitFMGaussian assigns after fit; Dip_area mirrors selected,Aging/pipeline/stage5_fitFMGaussian.m lines 74-120,LOCKED,dipAreaSource controls legacy_fit vs direct vs mode
Where is FM_E produced?,fitFMstep_plus_GaussianDip computes FM_E; stage5 copies onto pauseRuns,Aging/models/fitFMstep_plus_GaussianDip.m lines 181-187; Aging/pipeline/stage5_fitFMGaussian.m line 70,LOCKED,RMS of AC component of tanh step
What input signal does the fit use?,Raw pause-run DeltaM on T_common in window around waitK from pauseRuns_raw,Aging/pipeline/stage5_fitFMGaussian.m lines 57-58; fitFMstep_plus_GaussianDip.m lines 85-91,LOCKED,Not the stage4 smoothed decomposition curve
Are objects fit-derived or stage6 summary?,FM_E and Dip_area_selected fit-derived; AFM_like and FM_like stage6 summaries tied to fit outputs,Aging/pipeline/stage6_extractMetrics.m header lines 33-48,LOCKED,F7X5 R-ST6-001 separation from consolidation
What background is used?,Parametric C plus linear in T minus Tp plus Astep tanh plus Gaussian dip,Aging/models/fitFMstep_plus_GaussianDip.m lines 159-174,LOCKED,Token STAGE5_FIT_PARAMETRIC per F7X5
What does like mean?,Figure-route summary names for dip strength and FM strength in fit picture; not router-only tokens,docs/aging_observable_user_guide_draft.md Stage 5/6 section; stage6_extractMetrics.m comments,LOCKED_WITH_QUALIFIER,Pair with object names and stage
Is there a tau path for these fields?,No standard Track A tau ingest; F7U blocker BLK_TRACKA_TAU_READER; diagnostic replay scripts only,tables/aging/aging_multipath_status_01_blockers.csv; run_aging_trackA_tau_minimal_replay.m,PARTIAL,Midpoint proxy is diagnostic not canonical tau
Comparable to Dip_depth and FM_abs directly?,No identity equivalence; bridge required per F7V and F7X5,reports/aging/aging_F7X5_definition_contract_draft.md R-ST6-001; aging_multipath_status_01_route_inventory.csv R_TRK_A_FIT,LOCKED,Substitution forbidden for ratio or consolidation identity
Should next step be replay bridge or exclusion?,Bridge mapping before cross-route claims; canonical replay when MATLAB allowed for provenance; exclude naive substitution,aging_F7X5_contract_scope_matrix.csv stage6 and bridge rows; F7V charter cited in multipath audit,RECOMMENDATION,Align with AGING-DIP-FM-TW-INVENTORY baseline lane first
