Tp,tw,Dip_depth,FM_abs,source_run,Dip_depth_present,FM_abs_present,grid_note
14,3,6.20548853847195e-07,9.80975321930083e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
14,36,5.24014705707366e-07,1.82340905309218e-06,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
14,360,-8.9536837772524e-08,6.40037056358776e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
14,3600,1.95420344888055e-07,2.04702904491693e-06,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
18,3,4.77448542053708e-07,5.93349215287068e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
18,36,5.32426690783185e-07,1.78979578802416e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
18,360,2.35916177149297e-07,2.13307781340364e-06,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
18,3600,7.45154109451268e-07,8.77517129158269e-08,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
22,3,6.20564085409436e-07,1.94428480485198e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
22,36,4.83865039296096e-07,3.47345541082714e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
22,360,2.79803042621795e-07,7.08380502820365e-08,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
22,3600,8.86583711594106e-07,1.27269122876671e-06,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
26,3,7.94121124071608e-07,6.01447161069129e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
26,36,5.19789946401978e-07,7.32640312217379e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
26,360,7.89415049547935e-07,8.86181574951173e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
26,3600,1.58953335101602e-06,2.07427201171414e-06,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min",YES,YES,"Track B five-column row; full tw ladder {3,36,360,3600} at this Tp."
30,36,9.87530105806022e-07,8.44001163675723e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",YES,YES,"Track B five-column row; tw=3 absent for this Tp (PARTIAL grid vs Tp 14-26)."
30,360,1.2628102068089e-06,9.80804986271369e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min",YES,YES,"Track B five-column row; tw=3 absent for this Tp (PARTIAL grid vs Tp 14-26)."
30,3600,1.52008292659831e-06,2.0014423840081e-06,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min",YES,YES,"Track B five-column row; tw=3 absent for this Tp (PARTIAL grid vs Tp 14-26)."
34,36,3.18578938210271e-07,8.58403730646882e-08,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",YES,YES,"Track B five-column row; tw=3 absent for this Tp (PARTIAL grid vs Tp 14-26)."
34,360,1.17648694772181e-06,4.6750098273508e-07,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min",YES,YES,"Track B five-column row; tw=3 absent for this Tp (PARTIAL grid vs Tp 14-26)."
34,3600,8.10297930946692e-07,2.59975231893718e-06,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min",YES,YES,"Track B five-column row; tw=3 absent for this Tp (PARTIAL grid vs Tp 14-26)."
