output_path,field_name,present,nonempty_or_valid,expected_rule,pass,notes
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,branch_id,YES,YES,equals FM_O_30row_B for all rows,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,datasetPath,YES,YES,absolute path to smoke datasetPath,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,dipTauPath,YES,YES,absolute path to smoke dipTauPath,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,failedDipClockMetricsPath,YES,YES,absolute path to smoke failedDipClockMetricsPath,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,source_run_id,YES,VALID_WHEN_HAS_FM,matches source_run when has_fm=1; empty allowed when has_fm=0,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,source_writer_script,YES,YES,Aging/analysis/aging_fm_timescale_analysis.m,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,writer_family_id,YES,YES,WF_TAU_FM_CURVEFIT,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,tau_domain,YES,YES,FM_ABS_CURVEFIT,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,tau_or_R_flag,YES,YES,TAU,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,FM_abs_convention,YES,YES,FM_ABS_AS_READ_NO_WRITER_ABS_TRANSFORM_PENDING_SIGNED_SOURCE,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,FM_input_column,YES,YES,FM_abs,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,FM_signed_source_column,YES,YES,NOT_PROVIDED_IN_MINIMAL_DATASET_SCHEMA,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,absolute_transform_applied_in_writer,YES,YES,NO,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,model_use_allowed,YES,YES,NO_UNLESS_LINEAGE_RESOLVED,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,ratio_use_allowed,YES,YES,NO all rows,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,row_model_use_allowed,YES,YES,NO all smoke rows,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,row_ratio_use_allowed,YES,YES,NO all smoke rows,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,row_exclusion_reason,YES,YES,enumerated reasons per row,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,lineage_status,YES,YES,LINEAGE_METADATA_HARDENED_PENDING_F7S,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,canonical_status,YES,YES,non_canonical_pending_lineage,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,failed_dip_clock_run_id_report_ref,YES,YES,run_2026_03_13_005134_aging_fm_using_dip_clock in smoke,YES,
C:\Dev\matlab-functions\results\aging\runs\run_2026_05_03_095534_F7R2_FM_METADATA_SMOKE_30ROW\tables\tau_FM_vs_Tp.csv,failed_dip_clock_run_id_source,YES,YES,DERIVED_FROM_METRICS_PATH_TOKEN in smoke,YES,
