field,value
TASK_COMPLETED,YES
FIX04_ONLY,YES
UPDATED_F01A_POLICY_APPLIED,YES
F01A_FILE_ALLOWED_TRACKED,YES
F01A_FILE_STAGED,NO
STAGED_SET_EXACTLY_FIX04_ARTIFACTS,YES
STAGED_SET_CONTAINS_FORBIDDEN_PATHS,NO
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
FULL_RUN_COMMITTED,NO
SIDECAR_HARDENING_TARGETED,YES
DIP_BRANCH_CLOSED_UPSTREAM,YES
FM_BRANCH_CLOSED_UPSTREAM,YES
DIP_SIDECAR_PATH_IDENTIFIED,YES
FM_SIDECAR_PATH_IDENTIFIED,YES
DIP_REQUIRED_METADATA_INVENTORIED,YES
FM_REQUIRED_METADATA_INVENTORIED,YES
SOURCE_DATASET_ID_PRESENT_FOR_BOTH,YES
SOURCE_RUN_TOKEN_PRESENT_FOR_BOTH,YES
COMPONENT_OBSERVABLE_ID_PRESENT_FOR_BOTH,YES
TAU_METHOD_ID_PRESENT_FOR_BOTH,YES
TAU_DOMAIN_UNITS_PRESENT_FOR_BOTH,YES
INPUT_OBJECT_IDENTITY_PRESENT_FOR_BOTH,YES
LOCAL_RUN_DEPENDENCY_DISCLOSED_FOR_BOTH,YES
REQUIRED_METADATA_COMPLETE_AT_COMMITTED_EVIDENCE_LAYER,YES
SIDECAR_METADATA_BLOCKER_CLOSED_AFTER_FIX04,YES
SIDECAR_METADATA_BLOCKER_STATUS_AFTER_FIX04,CLOSED
DIP_TAU_CANONICAL_READY_AFTER_FIX04,PARTIAL
FM_TAU_CANONICAL_READY_AFTER_FIX04,PARTIAL
TAU_CANONICAL_SET_READY_AFTER_FIX04,NO
SAFE_TO_USE_TAU_AS_CANONICAL_EVIDENCE_AFTER_FIX04,NO
SAFE_TO_RUN_RATIOS_AFTER_FIX04,NO
SAFE_TO_RUN_COMPARISON_RUNNER_AFTER_FIX04,NO
READY_FOR_FIX05_ROW_IDENTITY,YES
READY_FOR_FIX06_READINESS_GATE,PARTIAL
READY_FOR_ARCHIVE_COMMIT,YES
