field,value
TASK_COMPLETED,YES
FIX07_ONLY,YES
DESIGN_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
READINESS_DESIGN_TARGETED,YES
FIX06_GOVERNANCE_GATE_CLOSED,YES
BASELINE_DIP_FM_LANE_GOVERNANCE_READY,YES
BASELINE_DIP_FM_TAU_SCIENCE_READY,NO
RATIO_COMPARISON_DESIGN_ALLOWED,YES
RATIO_COMPARISON_EXECUTION_ALLOWED,NO
BODY_LEVEL_CANONICALIZATION_REQUIRED,YES
ROW_LEVEL_BODY_RUN_LOCAL_REMAINS,YES
COLLAPSE_OPTIMIZER_EXCLUDED,YES
OLDFIT_FORENSIC_EXCLUDED,YES
NONBASELINE_TAU_EXCLUDED,YES
FUTURE_TASK_CONTRACT_CREATED,YES
STOP_CONDITIONS_CREATED,YES
SAFE_TO_STAGE_FIX07_ARTIFACTS,YES
SAFE_TO_COMMIT_FIX07_ARTIFACTS,YES
