key,value_notes
HEAD_commit_observed_this_audit,df90052 (workspace); anchors per prompt 84431dc F7H roadmap; ced4798 F7G metadata columns
GIT_STAGED_DIFF_CACHED_EMPTY,YES_git_diff_cached_name_only_empty
GIT_STATUS_DIRTY_EXPECTED,NOISE_OUTSIDEAGING_ONLY_per_policy
F7I_DATASET_AUDIT_COMPLETE,YES
F7I_MISSING_F7H_DATASET_PATH_CLASSIFIED,MISSING_UNDER_results_aging_runs_SPECIFIC_HISTORICAL_run_2026_03_12_211204_PLUS_TABLES_ARTIFACTS_gitignored_ARTIFACT_ABSENT_clone_dependent_OR_use_bridge
F7I_AUTHORITATIVE_DATASET_CREATOR_IDENTIFIED,"YES_PRIMARY_WRITER:Aging/analysis/run_aging_observable_dataset_consolidation.m (Stage E consolidation). ORCHESTRATOR_CHAIN:Aging/analysis/run_aging_Tp_tw_structured_export_and_consolidation.m. STRUCTURED_FEED:aging_structured_results_export_via_observable_matrix. HISTORICAL_SNAPSHOT:any_aging_dataset_build_run_that_materialized_under_results_legacy_id"
F7I_AUTHORITATIVE_DATASET_PATH_IDENTIFIED,"OPERATIONAL_CONTRACT_OUTPUT:tables/aging/aging_observable_dataset_csv (producer consolidation). PATCHED_DIP_TAU_WRITER_CODE_DEFAULTstill:results_aging_runs_run_2026_03_12_211204_aging_dataset_build_tables (missing_here). PATCHED_FM_TAU_WRITER_DEFAULT:dataPath_same_hardcoded_fragment_aging_fm_timescale_analysis_applyDefaults"
F7I_EXISTING_CANDIDATE_DATASETS_INVENTORIED,YES_TWO_ON_DISK_here_tables_aging_and_results_old_matching_legacy_id_optional_env
F7I_DIP_DEPTH_LINEAGE_ASSESSED,PARTIAL_NUMERIC_YES_BRANCH_METADATANO_IN_CONSOLIDATION_SIDECAR
F7I_SOURCE_RUN_LINEAGE_ASSESSED,ADECQUATE_UNDER_CONTRACT_source_run_concat_plus_sidecar_manifest_and_input_paths
F7I_SAFE_RETURN_TO_F7H,CONDITIONAL_YES_AFTER_EXPLICIT_POINTER_AND_LINEAGE_CONFIRMATION_AGING_OBSERVABLE_DATASET_PATH_OR_chosen_physical_file_DOCUMENTED_RUN_FOR_FIT_COVERAGE_NOT_JUST_EXISTS
F7I_NEXT_ACTION_RECOMMENDED,CREATE_CONTROLLED_BRIDGE_set_AGING_OBSERVABLE_DATASET_PATH_to_known_good_checked_out_tables_or_restored_under_results_matching_science_then_rerun_timescale_extractions_or_formally_pick_new_canonical_defaults_in_separate_config_change_follow_on
NO_CODE_EDITED,YES
NO_MATLAB_RUN,YES
NO_DATASET_REBUILD,YES
NO_TAU_R_WRITER_RUN,YES
NO_TAU_R_PHYSICS_ANALYSIS,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
