verdict_key,verdict_value
F7X_BRIDGE_IMPLEMENTATION_COMPLETE,YES
F7X_BRIDGE_IMPLEMENTED,YES
F7X_RATIO_EXECUTED,NO
F7X_TAU_EXTRACTION_RUN,NO
F7X_DECOMPOSITION_RERUN,NO
F7X_PHYSICS_CLAIMS_MADE,NO
F7X_USED_EXISTING_ARTIFACTS_ONLY,YES
F7X_NEW_DECOMPOSITION_MATH_RUN,NO
F7X_REQUIRED_LONG_COLUMNS_PRESENT,YES
F7X_REQUIRED_INDEX_COLUMNS_PRESENT,YES
F7X_REQUIRED_PAIRING_COLUMNS_PRESENT,YES
F7X_SOURCE_INVENTORY_WRITTEN,YES
F7X_VALIDATION_GATES_RUN,YES
F7X_NO_FORBIDDEN_SUBSTITUTIONS,YES
F7X_TRACK_IDENTITIES_PRESERVED,YES
F7X_SIGN_CONVENTIONS_POPULATED,PARTIAL
F7X_SCALAR_TYPES_POPULATED,YES
F7X_GRID_TYPES_POPULATED,YES
F7X_MISSING_COMPONENTS_DISCLOSED,YES
F7X_PAIRINGS_MACHINE_READABLE,YES
F7X_READY_FOR_TAU_CHARTER,PARTIAL
F7X_READY_FOR_MULTIPATH_RATIO_EXECUTION,NO
F7X_BASELINE_F7T_RATIO_STILL_ALLOWED,YES_BASELINE_ONLY
F7X_SAFE_FOR_PHYSICS_CLAIMS,NO
F7X_NEXT_SAFE_STEP,TRACK_A_TAU_CHARTER_OR_DIRECT_TAU_CHARTER
