Tp,tw,archived_structured_export_run,current_source_run_dir,Dip_archived,Dip_current,Dip_rel_diff,FM_archived,FM_current,FM_rel_diff,primary_divergence_layer,secondary_layers,evidence
6,3,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,3.27732274143177e-07,4.92339914189699e-07,0.502262526560352,NaN,NaN,NaN,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
6,36,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,7.99508634517402e-07,1.35225332991237e-07,-0.830864449546738,NaN,NaN,NaN,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
6,360,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,9.23676895617443e-07,8.86883171456342e-08,-0.903983397694115,NaN,NaN,NaN,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
6,3600,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,3.92977295782975e-07,4.03040115295474e-07,0.0256066180425249,NaN,NaN,NaN,UNRESOLVED,,small/no observable difference at this row
10,3,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,1.42556527773531e-08,9.59000660100232e-07,66.2716062237238,NaN,NaN,NaN,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
10,36,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,1.03585720097351e-06,3.97649792345436e-08,-0.961611524062224,NaN,NaN,NaN,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
10,360,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,1.16197537325971e-06,-2.4431648820391e-08,-1.02102596094774,NaN,NaN,NaN,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
10,3600,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,2.83966127861751e-07,4.58512757847224e-07,0.614674120817857,NaN,NaN,NaN,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
14,3,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,1.68514898616842e-07,6.20548853847195e-07,2.68245691592028,9.80975321930083e-07,9.80975321930083e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
14,36,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,6.20484079036192e-07,5.24014705707366e-07,-0.155474373296852,1.82340905309218e-06,1.82340905309218e-06,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
