status_key,status_value,evidence,notes
F7X4_DEFINITION_GAP_RESOLUTION_COMPLETE,YES,"reports/aging/aging_F7X4_definition_gap_resolution.md","Read-only gap audit 2026-05-03"
F7X4_GAP_RESOLUTION_MATRIX_WRITTEN,YES,"tables/aging/aging_F7X4_gap_resolution_matrix.csv",""
F7X4_DM_DELTAM_SIGNED_RESOLVED,YES,"tables/aging/aging_F7X4_dM_deltaM_signed_resolution.csv","Explicit assignments in analyzeAFM_FM_components.m"
F7X4_BACKGROUND_BASELINE_RESOLVED,PARTIAL,"tables/aging/aging_F7X4_background_baseline_resolution.csv","Mapped categories; colloquial background still multi-use"
F7X4_DERIVATIVE_BRANCH_RESOLVED,YES,"tables/aging/aging_F7X4_derivative_branch_resolution.csv","initResult plus body in analyzeAFM_FM_derivative.m"
F7X4_FIT_STAGE_BOUNDARY_RESOLVED,PARTIAL,"tables/aging/aging_F7X4_fit_stage_boundary_resolution.csv","Switch and Main order explicit; FM_E callee not fully opened"
F7X4_TAU_EFFECTIVE_SECONDS_RESOLVED,PARTIAL,"tables/aging/aging_F7X4_tau_effective_seconds_resolution.csv","Dip vs FM builder rules differ; metadata required"
F7X4_STAGE_BOUNDARY_MAP_WRITTEN,YES,"tables/aging/aging_F7X4_stage_boundary_map.csv",""
F7X4_CONTRACT_READINESS_UPDATE_WRITTEN,YES,"tables/aging/aging_F7X4_contract_readiness_update.csv",""
F7X4_NAMING_CONTRACT_WRITTEN,NO,"Out of scope",""
F7X4_FINAL_NAMES_SELECTED,NO,"Out of scope",""
F7X4_OBJECTS_RENAMED,NO,"Out of scope",""
F7X4_CODE_REFACTORED,NO,"Out of scope",""
F7X4_MATLAB_RUN,NO,"Out of scope",""
F7X4_PYTHON_RUN,NO,"Out of scope",""
F7X4_REPLAY_RUN,NO,"Out of scope",""
F7X4_TAU_EXTRACTION_RUN,NO,"Out of scope",""
F7X4_RATIO_EXECUTED,NO,"Out of scope",""
F7X4_PHYSICS_CLAIMS_MADE,NO,"Code-doc routing only",""
F7X4_SWITCHING_TOUCHED,NO,"Aging-only new files",""
F7X4_RELAXATION_TOUCHED,NO,"Aging-only new files",""
F7X4_MT_TOUCHED,NO,"Aging-only new files",""
F7X4_READY_FOR_NAMING_CONTRACT,PARTIAL,"Background colloquial and tau_effective dual recipe","Naming can proceed with qualifiers per matrix"
F7X4_READY_FOR_DEFINITION_CONTRACT,PARTIAL,"Same residual gaps","Prefer partial definition contract plus branch tags"
F7X4_NEXT_SAFE_STEP,"DRAFT_DEFINITION_CONTRACT_WITH_BRANCH_QUALIFIERS_AND_TAU_METADATA_GATE","F7X4_gap_resolution_matrix recommended_action rollup",""
