pathway_id,component,sidecar_artifact_path,field_name,field_value,field_source,committed_evidence_available,run_local_dependency,required_for_canonical_tau,required_for_ratio_eligibility,status,limitation
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,sidecar_path_token,c:/Dev/.../tau_vs_Tp_sidecar.csv,PRB03 inventory + FV,YES,YES file body on disk,YES,YES,PASS,Path is environment-specific
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,source_dataset_id,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,PRB03 FV_00013,YES,PARTIAL hash not in git,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,source_run,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|...|MG119_36sec,PRB03 FV_00012,YES,NO,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,source_artifact_tau_table,c:/Dev/.../tau_vs_Tp.csv,PRB03 FV_00011,YES,YES,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,source_observable,Dip_depth,PRB03 FV_00007,YES,NO,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,tau_method,CURVEFIT_ZOO with buildConsensusTau (full text in sidecar file),PRB03 FV_00004,YES,YES full string in file,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,tau_domain,DIP_DEPTH_CURVEFIT,PRB03 FV_00003,YES,NO,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,tau_units,seconds,PRB03 FV_00002,YES,NO,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,tau_input_object,Dip_depth,PRB03 FV_00005,YES,NO,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,tau_input_axis,tw,PRB03 FV_00006,YES,NO,YES,YES,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,lineage_status,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,PRB03 FV_00014,YES,NO,YES,YES,WARN,Not COMPLETE per validator
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,tau_bundle_status_snapshot,WARN_LINEAGE_PARTIAL,PRB03 pathway summary,YES,NO,YES,YES,WARN,Dominant blocker drives WARN
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp_sidecar.csv,sidecar_path_token,c:/Dev/.../tau_FM_vs_Tp_sidecar.csv,PRB03 inventory + FV,YES,YES file body on disk,YES,YES,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp_sidecar.csv,source_dataset_id,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,PRB03 FV_00037,YES,PARTIAL hash not in git,YES,YES,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp_sidecar.csv,source_run,same shared token as Dip baseline,PRB03 FV_00036,YES,NO,YES,YES,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM_BASELINE,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp_sidecar.csv,source_artifact_tau_table,c:/Dev/.../tau_FM_vs_Tp.csv,PRB03 FV_00035,YES,YES,YES,YES,PASS,
