status_key,status_value,evidence,notes
F7X8_EDITORIAL_REVIEW_COMPLETE,YES,"reports/aging/aging_F7X8_user_guide_editorial_review.md","F7X8 review pack"
F7X8_FINAL_NAMING_CONTRACT_WRITTEN,NO,"Review scope excludes naming contract",""
F7X8_DOCS_PROMOTION_PERFORMED,NO,"No docs tree edits",""
F7X8_ARTIFACTS_RENAMED,NO,"Additive reports tables only",""
F7X8_CODE_REFACTORED,NO,"No code",""
F7X8_MATLAB_RUN,NO,"",""
F7X8_PYTHON_RUN,NO,"",""
F7X8_REPLAY_RUN,NO,"",""
F7X8_TAU_EXTRACTION_RUN,NO,"",""
F7X8_RATIO_EXECUTED,NO,"",""
F7X8_PHYSICS_CLAIMS_MADE,NO,"Editorial assessment only",""
F7X8_SWITCHING_TOUCHED,NO,"Aging reports tables only",""
F7X8_RELAXATION_TOUCHED,NO,"Aging reports tables only",""
F7X8_MT_TOUCHED,NO,"Aging reports tables only",""
F7X8_GUIDE_READABLE_FOR_NEW_USER,PARTIAL,"Strong for motivated reader quick-start gloss pending","See readability CSV"
F7X8_QUICK_START_NEEDED,YES,"Executive verdict and docs_promotion_readiness","Add first-screen procedure"
F7X8_READY_FOR_DOCS_PROMOTION,YES_WITH_EDITS,"Quick start matrix legend glossary before docs copy","Optional consolidation compare list"
F7X8_NEXT_SAFE_STEP,"EDIT_F7X7_PER_F8_RECOMMENDED_EDITS_THEN_OPTIONAL_DOCS_PROMOTION_TASK","tables/aging/aging_F7X8_recommended_edits.csv","Does not require new science analysis"
