rule_id,rule_group,naming_rule,applies_to,required_metadata,allowed_display_pattern,forbidden_display_pattern,basis,contract_status,risk_if_violated,notes
PN-001,display_name,Every display headline must be paired with entity_kind metadata block,all user-visible Aging quantities,"entity_kind,contract_status,lineage_status","Label + metadata panel or adjacent machine row","Headline number with no metadata",F7X5 required_metadata_schema,LOCKED_WITH_QUALIFIER,HIGH,Prefer metadata over lengthening headline
PN-002,display_name,Display headline may omit route token only if stage_or_route appears in mandatory metadata,decomposition tau ratio bridge,"stage_or_route,producer_script","Short label + stage_or_route in panel","Short label alone for ambiguous objects",F7X4 stage map,LOCKED_WITH_QUALIFIER,MEDIUM,Clarity over brevity
PN-003,route_id,route_id must be stable join key for UI and tables not English prose alone,automation consumers,"route_id,entity_kind,object_name","machine route_id + human headline","English sentence as sole id",F7X2 inventory,LOCKED,MEDIUM,See aging_F7X6_route_id_schema.csv
PN-004,metadata,Entity kind must state decomposition vs tau vs ratio vs bridge vs dataset,all rows,"entity_kind,allowed_use","entity_kind=decomposition_component etc","entity_kind missing",F7X5 scope matrix,LOCKED,HIGH,
PN-005,metadata,Branch or stage must accompany any DeltaM FM dip family field,stage4 objects,"stage_or_route,decomposition_method","STAGE4_* token in metadata","Generic dip without stage",R-DIR-001 R-DER-001,LOCKED_WITH_QUALIFIER,HIGH,
PN-006,metadata,Decomposition vs tau role must be explicit for any field that could exist in both layers,cross-layer names,"decomposition_or_tau_role,tau_domain","role=decomposition or tau_output","Ambiguous dual-use label",F7X3 inventory,LOCKED_WITH_QUALIFIER,BLOCKING,
PN-007,bridge,Bridge components must declare bridge export in metadata and allowed_use,F7X bridge rows,"bridge_row_id,branch_family,allowed_use=bridge_only","BRIDGE_EXPORT banner + ids","Bare C_DIP_DEPTH_B headline",R-BRI-001,BRIDGE_ONLY,HIGH,
PN-008,tau,Tau outputs must carry tau_domain tau_method tau_input_object producer grain units lineage,tau CSV rows,"tau_domain,tau_method,tau_input_object,producer_script,grain,units,lineage_status","tau_vs_Tp without domain",R-TAU-001,LOCKED_WITH_QUALIFIER,BLOCKING,
PN-009,tau,tau_effective_seconds display requires full tau_effective bundle including methods disclosure,tau_effective_seconds column,"tau_domain,tau_method,tau_consensus_methods_or_half_range,producer_script,grain,units","Axis label tau_effective_seconds only",R-TAU-002 B-003,LOCKED_WITH_QUALIFIER,BLOCKING,Legacy column policy
PN-010,ratio,Ratio outputs must state downstream ratio and list ratio_inputs,R_age clock ratio,"ratio_inputs,downstream_status","DOWNSTREAM_RATIO R_age + inputs","R_age as raw observable",R-RAT-001,DOWNSTREAM_ONLY,HIGH,
PN-011,track_label,Track A or B must never be sole semantic identifier,governance labels,"object_name list,stage_or_route","Track_A plus AFM_like FM_like tokens","Plot titled Track A only",R-TRK-001,LOCKED_WITH_QUALIFIER,MEDIUM,
PN-012,forbidden_pattern,Standalone background baseline residual forbidden as display tokens,UI prose,"CATEGORY_TOKEN plus stage_or_route","SMOOTH_COMPONENT_STAGE4_DIRECT:DeltaM_smooth","Background",R-BG-001,FORBIDDEN,HIGH,
PN-013,forbidden_pattern,Standalone fit word forbidden without stage4 flag vs stage5 object disambiguation,configs UI,"stage4_agingMetricMode_fit_flag vs stage5_fit_object","fit flag explained in metadata","Fit equals FM_E",R-FIT-001,FORBIDDEN,HIGH,
PN-014,forbidden_pattern,Equating DeltaM_sharp and dip_signed without dM equals signed proof,signed layer,"reference_or_subtraction_rule,DeltaM_signed_source","Two distinct tokens in metadata","One residual label for both",R-DM-001,LOCKED_WITH_QUALIFIER,HIGH,
PN-015,forbidden_pattern,FM_step_mag magnitude-only assumption from substring mag,wide matrix,"sign_policy,route_sign_policy","Signed semantics disclosed","Magnitude from name",R-FM-003,LOCKED_WITH_QUALIFIER,HIGH,
PN-016,excluded_group,fitFMstep_plus_GaussianDip internal kernel excluded from LOCKED naming promotion,callee internals,"EXCLUDED_PENDING_AUDIT","none for LOCKED headline","Gaussian kernel marketing name",R-EXC-001,EXCLUDED,LOW,Interface fields stay PARTIAL
PN-017,display_name,Five-column FM_abs must show ABS_ONLY in sign_policy,Track B reader,"sign_policy=ABS_ONLY,source_artifact","FM_abs with ABS_ONLY banner","FM_abs signed story",F7J freeze,LOCKED,HIGH,
PN-018,metadata,Extrema outputs must carry stage4_extrema_movmean11 token,extrema scalars,"smoothing_policy=movmean11,stage_or_route","EXTREMA_MOVMEAN label in metadata","Alias to Dip_depth",R-EXT-001,LOCKED_WITH_QUALIFIER,MEDIUM,
PN-019,metadata,Derivative route must list derivative-only FM redefinition,deltaM_smooth median baseline,"stage4_derivative_route,decomposition_method","DERIVATIVE banner","Derivative FM as default FM",R-DER-001,LOCKED_WITH_QUALIFIER,MEDIUM,
PN-020,metadata,Stage6 summaries must cite upstream Dip_area_selected or FM_E not consolidation Dip_depth,AFM_like FM_like,"stage6_Track_A,fit_dependency","STAGE6 summary metadata","AFM_like equals five-column dip",R-ST6-001,LOCKED_WITH_QUALIFIER,HIGH,
