field,value
TASK_COMPLETED,YES
FIX02_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
FULL_RUN_COMMITTED,NO
DIP_BRANCH_TARGETED,YES
FM_BRANCH_TOUCHED,NO
SHARED_DATASET_LINEAGE_CLOSED_UPSTREAM,YES
DIP_PATHWAY_IDENTITY_IDENTIFIED,YES
DIP_SEMANTIC_LABEL_CONFIRMED,YES
DIP_SOURCE_SIGNAL_OBJECT_IDENTIFIED,YES
DIP_COMPONENT_DEFINITION_IDENTIFIED,YES
DIP_EXTRACTION_METHOD_IDENTIFIED,YES
DIP_COMPONENT_ROWS_SOURCE_IDENTIFIED,YES
DIP_TAU_ARTIFACT_IDENTIFIED,YES
DIP_TAU_SIDECAR_IDENTIFIED,YES
DIP_SIGN_MAG_BASELINE_NORMALIZATION_DISCLOSED,YES
DIP_TAU_INDEPENDENT_OF_COLLAPSE_OPTIMIZER,YES
DIP_BRANCH_LOCAL_RUN_DEPENDENCY_REMAINS,YES
DIP_BRANCH_BLOCKER_CLOSED_AFTER_FIX02,YES
DIP_BRANCH_BLOCKER_STATUS_AFTER_FIX02,CLOSED
DIP_TAU_CANONICAL_READY_AFTER_FIX02,PARTIAL
FM_TAU_CANONICAL_READY_AFTER_FIX02,PARTIAL
TAU_CANONICAL_SET_READY_AFTER_FIX02,NO
SAFE_TO_USE_TAU_AS_CANONICAL_EVIDENCE_AFTER_FIX02,NO
SAFE_TO_RUN_RATIOS_AFTER_FIX02,NO
SAFE_TO_RUN_COMPARISON_RUNNER_AFTER_FIX02,NO
READY_FOR_FIX03_FM_BRANCH,YES
READY_FOR_FIX04_SIDECAR_HARDENING,YES
READY_FOR_ARCHIVE_COMMIT,YES
