Tp,tw,Dip_legacy,Dip_replay,rel_diff_dip,log10_ratio_dip,FM_legacy,FM_replay,rel_diff_fm,log10_ratio_fm,legacy_row_status,replay_row_status
6,3,3.27732274143177e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
6,36,7.99508634517402e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
6,360,9.23676895617443e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
6,3600,3.92977295782975e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
10,3,1.42556527773531e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
10,36,1.03585720097351e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
10,360,1.16197537325971e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
10,3600,2.83966127861751e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,legacy_only,missing_on_current_aggregate
14,3,1.68514898616842e-07,6.20548853847195e-07,2.68245691592028,0.566137674377523,9.80975321930083e-07,9.80975321930083e-07,0,0,aligned,aligned
14,36,6.20484079036192e-07,5.24014705707366e-07,-0.155474373296852,-0.0733871674465486,1.82340905309218e-06,1.82340905309218e-06,0,0,aligned,aligned
14,360,1.24173149370819e-06,-8.9536837772524e-08,-1.07210644026201,NaN,6.40037056358776e-07,6.40037056358776e-07,0,0,aligned,aligned
14,3600,1.0978873658713e-06,1.95420344888055e-07,-0.822003284705835,-0.749588011976392,2.04702904491693e-06,2.04702904491693e-06,0,0,aligned,aligned
18,3,5.95766185946248e-07,4.77448542053708e-07,-0.198597447595347,-0.0961492787070488,5.93349215287068e-07,5.93349215287068e-07,0,0,aligned,aligned
18,36,7.12536133636716e-07,5.32426690783185e-07,-0.252772363885982,-0.126547074157692,1.78979578802416e-07,1.78979578802416e-07,0,0,aligned,aligned
18,360,1.34081583618714e-06,2.35916177149297e-07,-0.824050275375499,-0.754611408534123,2.13307781340364e-06,2.13307781340364e-06,0,0,aligned,aligned
18,3600,1.36750526463645e-06,7.45154109451268e-07,-0.455099641134203,-0.263682906073898,8.77517129158269e-08,8.77517129158269e-08,0,0,aligned,aligned
22,3,3.80446314275027e-07,6.20564085409436e-07,0.631147581471446,0.212493256514882,1.94428480485198e-07,1.94428480485198e-07,0,0,aligned,aligned
22,36,5.49537925202047e-07,4.83865039296096e-07,-0.119505648098455,-0.0552734255523088,3.47345541082714e-07,3.47345541082714e-07,0,0,aligned,aligned
22,360,1.50004958614111e-06,2.79803042621795e-07,-0.813470804427479,-0.729253182709483,7.08380502820365e-08,7.08380502820365e-08,0,0,aligned,aligned
22,3600,1.93959353454284e-06,8.86583711594106e-07,-0.542902316488144,-0.339990979630747,1.27269122876671e-06,1.27269122876671e-06,0,0,aligned,aligned
26,3,2.31246381575899e-07,7.94121124071608e-07,2.4340910273269,0.535811802805627,6.01447161069129e-07,6.01447161069129e-07,0,0,aligned,aligned
26,36,1.03691245288129e-06,5.19789946401978e-07,-0.498713758372149,-0.299914214930336,7.32640312217379e-07,7.32640312217379e-07,0,0,aligned,aligned
26,360,9.62591417199795e-07,7.89415049547935e-07,-0.179906411544407,-0.086136583432673,8.86181574951173e-07,8.86181574951173e-07,0,0,aligned,aligned
26,3600,9.10407833455717e-07,1.58953335101602e-06,0.745957462802671,0.24203365867361,2.07427201171414e-06,2.07427201171414e-06,0,0,aligned,aligned
30,36,4.21027830298926e-07,9.87530105806022e-07,1.34552215967501,0.370239540365299,8.44001163675723e-07,8.44001163675723e-07,0,0,aligned,aligned
30,360,2.99637872939464e-08,1.2628102068089e-06,41.1445458286251,1.62474137801653,9.80804986271369e-07,9.80804986271369e-07,0,0,aligned,aligned
30,3600,2.7918195620328e-07,1.52008292659831e-06,4.44477496780449,0.735979935099999,2.0014423840081e-06,2.0014423840081e-06,0,0,aligned,aligned
34,36,6.51060570905961e-07,3.18578938210271e-07,-0.510676959338878,-0.310404334216772,8.58403730646882e-08,8.58403730646882e-08,0,0,aligned,aligned
34,360,4.7383411729457e-08,1.17648694772181e-06,23.8290890161972,1.39496078550315,4.6750098273508e-07,4.6750098273508e-07,0,0,aligned,aligned
34,3600,4.65142859872535e-07,8.10297930946692e-07,0.742040996111907,0.241058371208774,2.59975231893718e-07,2.59975231893718e-07,0,0,aligned,aligned
