status_key,status_value,evidence,notes
F7X3_OBJECT_DEFINITION_SURVEY_COMPLETE,YES,"reports/aging/aging_F7X3_object_definition_survey.md","Survey-only 2026-05-03"
F7X3_OBJECT_DEFINITION_INVENTORY_WRITTEN,YES,"tables/aging/aging_F7X3_object_definition_inventory.csv",""
F7X3_BACKGROUND_BASELINE_DEFINITIONS_SURVEYED,YES,"tables/aging/aging_F7X3_background_baseline_inventory.csv",""
F7X3_SIGNAL_PROCESSING_SURVEYED,YES,"tables/aging/aging_F7X3_signal_processing_inventory.csv",""
F7X3_TAU_OBJECT_DEFINITIONS_SURVEYED,YES,"tables/aging/aging_F7X3_tau_object_definition_inventory.csv",""
F7X3_CONFLICT_RISKS_RECORDED,YES,"tables/aging/aging_F7X3_object_conflict_risk_inventory.csv",""
F7X3_DEFINITION_READINESS_MATRIX_WRITTEN,YES,"tables/aging/aging_F7X3_definition_readiness_matrix.csv",""
F7X3_NAMING_CONTRACT_WRITTEN,NO,"Not in scope",""
F7X3_FINAL_NAMES_SELECTED,NO,"Not in scope",""
F7X3_OBJECTS_RENAMED,NO,"Not in scope",""
F7X3_CODE_REFACTORED,NO,"Not in scope",""
F7X3_MATLAB_RUN,NO,"Not in scope",""
F7X3_PYTHON_RUN,NO,"Not in scope",""
F7X3_REPLAY_RUN,NO,"Not in scope",""
F7X3_TAU_EXTRACTION_RUN,NO,"Not in scope",""
F7X3_RATIO_EXECUTED,NO,"Not in scope",""
F7X3_PHYSICS_CLAIMS_MADE,NO,"Survey routing only",""
F7X3_SWITCHING_TOUCHED,NO,"Aging-only new files",""
F7X3_RELAXATION_TOUCHED,NO,"Aging-only new files",""
F7X3_MT_TOUCHED,NO,"Aging-only new files",""
F7X3_DEFINITIONS_READY_FOR_NAMING_CONTRACT,PARTIAL,"Several objects PARTIAL or AMBIGUOUS; meta-terms background baseline","Open items in report"
F7X3_NEXT_SAFE_STEP,"RESOLVE_DEFINITION_GAPS_THEN_DRAFT_NAMING_CONTRACT","Readiness matrix blocking_reason column","After explicit sidecar and cfg vocabulary decisions"
