Tp,tw,archived_source_run,archived_structured_export_run,current_source_run_dir,current_sample,current_dataset,Dip_archived,Dip_current,Dip_f6j_olddef_current,Dip_abs_diff,Dip_rel_diff,Dip_log10_ratio,FM_archived,FM_current,FM_f6j_olddef_current,FM_abs_diff,FM_rel_diff,source_trace_match_status,row_alignment_status
6,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119,MG119_3sec,3.27732274143177e-07,4.92339914189699e-07,NaN,1.64607640046522e-07,0.502262526560352,0.176745834048802,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
6,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119,MG119_36sec,7.99508634517402e-07,1.35225332991237e-07,NaN,6.64283301526165e-07,-0.830864449546738,-0.771765098830561,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
6,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119,MG119_6min,9.23676895617443e-07,8.86883171456342e-08,NaN,8.34988578471809e-07,-0.903983397694115,-1.01765366626847,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
6,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119,MG119_60min,3.92977295782975e-07,4.03040115295474e-07,NaN,1.0062819512499e-08,0.0256066180425249,0.0109808146026637,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
10,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119,MG119_3sec,1.42556527773531e-08,9.59000660100232e-07,NaN,9.44745007322879e-07,66.2716062237238,1.82783179732413,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
10,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119,MG119_36sec,1.03585720097351e-06,3.97649792345436e-08,NaN,9.96092221738967e-07,-0.961611524062224,-1.41579912948074,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
10,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119,MG119_6min,1.16197537325971e-06,-2.4431648820391e-08,NaN,1.1864070220801e-06,-1.02102596094774,NaN,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
10,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119,MG119_60min,2.83966127861751e-07,4.58512757847224e-07,NaN,1.74546629985473e-07,0.614674120817857,0.208084884678638,NaN,NaN,NaN,NaN,NaN,NO,Tp_tw_overlapping
14,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119,MG119_3sec,1.68514898616842e-07,6.20548853847195e-07,6.20548853847195e-07,4.52033955230353e-07,2.68245691592028,0.566137674377523,9.80975321930083e-07,9.80975321930083e-07,9.80975321930083e-07,0,0,NO,Tp_tw_overlapping
14,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119,MG119_36sec,6.20484079036192e-07,5.24014705707366e-07,5.24014705707366e-07,9.6469373328826e-08,-0.155474373296852,-0.0733871674465486,1.82340905309218e-06,1.82340905309218e-06,1.82340905309218e-06,0,0,NO,Tp_tw_overlapping
14,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119,MG119_6min,1.24173149370819e-06,-8.9536837772524e-08,-8.9536837772524e-08,1.33126833148071e-06,-1.07210644026201,NaN,6.40037056358776e-07,6.40037056358776e-07,6.40037056358776e-07,0,0,NO,Tp_tw_overlapping
14,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119,MG119_60min,1.0978873658713e-06,1.95420344888055e-07,1.95420344888055e-07,9.02467020983245e-07,-0.822003284705835,-0.749588011976392,2.04702904491693e-06,2.04702904491693e-06,2.04702904491693e-06,0,0,NO,Tp_tw_overlapping
