method_id,method_family,fit_or_direct_class,producer_script_or_function,config_keys,input_fields,output_fields,sign_policy,magnitude_policy,scalar_type,route_names_using_it,known_limitations,notes
M_STAGE4_DIRECT_CORE,DIRECT_NONFIT,DIRECT,Aging/models/analyzeAFM_FM_components.m,"dip_window_K smoothWindow_K FM_plateau_K excludeLowT_* AFM_metric_main","pauseRuns DeltaM T_common waitK","dip_signed DeltaM_smooth DeltaM_sharp AFM_amp AFM_area FM_step_raw FM_step_mag AFM_RMS","FM_signed from signed plateau diff path","AFM_amp RMS style dip metric","dip_residual_plateau_mix","dip_signed; AFM_amp; FM_step_raw; FM_step_mag; stage4 pauseRuns","Does not emit tau","Canonical direct decomposition engine"
M_STAGE4_ORCHESTRATOR,ROUTER,DIRECT_OR_ROUTED,Aging/pipeline/stage4_analyzeAFM_FM.m,agingMetricMode AFM_metric_main,"state.pauseRuns cfg","Dip_depth Dip_depth_source FM_signed FM_abs Dip_area_direct baseline_*","FM_signed signed FM_abs abs","Dip_depth may copy AFM_amp","depth_amplitude","Dip_depth; FM_abs; FM_signed; export routes","agingMetricMode direct model fit share same direct branch","Fills Dip_depth from AFM_amp when blank sets Dip_depth_source"
M_STAGE4_DERIVATIVE,DERIVATIVE_ASSISTED,DERIVATIVE,Aging/models/analyzeAFM_FM_derivative.m,agingMetricMode derivative,"T_common DeltaM or DeltaM_signed waitK cfg","pauseRuns derivative scalar fields per result struct","Signed FM per derivative outputs","Varies by derivative definition","derivative_scalars","derivative branch pauseRuns only","Not consolidation Dip_depth without explicit mapping","Loop per pause run in orchestrator"
M_STAGE4_EXTREMA,EXTREMA_SMOOTHED,DIRECT_FEATURE,Aging/models/analyzeAFM_FM_extrema_smoothed.m,agingMetricMode extrema_smoothed,"pauseRuns smoothed curves","AFM_extrema_smoothed FM_extrema_smoothed","Magnitude style extrema","abs(extrema) in some stage6 branches","extrema_magnitude","AFM_extrema_smoothed; FM_extrema_smoothed","Different sensitivity vs residual dip","Feeds stage6 when mode active"
M_STAGE5_GAUSSIAN_TANH,FIT_GAUSSIAN_TANH,FIT,Aging/pipeline/stage5_fitFMGaussian.m,"dip_window_K fitOpts windowFactor","pauseRuns_raw","Dip_area_fit Dip_area_selected FM_E Dip_area paths","Fit magnitudes","Gaussian dip area tanh step metrics","area_energy","Dip_area_selected; FM_E; Dip_area_fit","Not five_column Dip_depth","Selects Dip_area_selected for summaries"
M_STAGE6_TRACK_A_SUMMARY,FIT_SUMMARY,FIT,Aging/pipeline/stage6_extractMetrics.m,agingMetricMode,"pauseRuns Dip_area_selected FM_E AFM_extrema_smoothed","state.summary.AFM_like state.summary.FM_like summary_source_labels","N/A summary scalars","Magnitude summaries","summary_scalar","AFM_like; FM_like; Track A figures","Per pause summary not tw curve export grain","Header states not dip_signed FM_signed"
M_STRUCTURED_EXPORT_WIDE,MATERIALIZATION,NON_FIT_EXPORT,Aging/analysis/aging_structured_results_export.m,"preferredTpK tpTolK nCommonGrid datasetSpecs","curves from staged pipeline per dataset","observable_matrix.csv observables.csv","FM_step_mag wide signed per freeze FM_abs column","Wide keeps FM_step_mag narrow strips it","mixed_table","observable_matrix.csv; observables.csv","Narrow drops FM_step_mag","Runs stages through stage4 stage5 per cfg"
M_FIVE_COLUMN_CONSOL,CONSOLIDATION_ONLY,CONSOL_EXPORT,Aging/analysis/run_aging_observable_dataset_consolidation.m,"consolidation_structured_run_dir.txt pointer contract mapping CSVs","observable_matrix.csv observables.csv","Tp tw Dip_depth FM_abs source_run","FM_abs magnitude only in CSV","Identity numeric copy","reader_contract_columns","aging_observable_dataset.csv","No FM_signed in five columns FM_step_mag excluded","Stage E thin producer"
M_F7X_BRIDGE_LONG,BRIDGE_EXPORT,CONSOL_EXPORT,PowerShell bridge job per reports/aging/aging_F7X_bridge_export_implementation.md,"F7W schema columns","aging_observable_dataset.csv rows","aging_F7X_bridge_component_long.csv","sign_convention per row from schema","absolute_value_used flag","per component_id","C_DIP_DEPTH_B; C_FM_ABS_B long rows","Track A streams zero rows if sources missing","Implementation used Import-Csv no new MATLAB"
M_DOWNSTREAM_TAU_CURVEFIT,TAU_DOWNSTREAM,FIT_ON_EXPORTED_CURVES,Aging/analysis/aging_timescale_extraction.m; Aging/analysis/aging_fm_timescale_analysis.m,"AGING_OBSERVABLE_DATASET_PATH cfg datasetPath dipTauPath","Dip_depth or FM_abs vs tw grouped tables","tau_vs_Tp.csv tau_FM_vs_Tp.csv","N/A tau layer","Curve collapse magnitudes","tau_columns","tau_vs_Tp; tau_FM_vs_Tp","Not produced inside stage4","Multiple fit columns per Tp in dip script"
M_DOWNSTREAM_RATIO,RATIO_DOWNSTREAM,COMBINATOR,Aging/analysis/aging_clock_ratio_analysis.m; Aging/analysis/aging_clock_ratio_temperature_scaling.m,"cfg resolveSources dipRunName fmRunName","prior tau_vs_Tp tau_FM_vs_Tp","table_clock_ratio.csv correlation_summary clock_ratio_data variants","N/A","Dimensionless ratio","R_age","R_age; clock_ratio tables","Requires paired tau files same policy plane","No new tau extraction in clock script"
