phase_id,verdict_key,verdict_value,expected_or_allowed_value,consistent_with_sequence,issue,status
F7N,F7N_SAFE_FOR_PHYSICS_CLAIMS,NO,NO,YES,,OK
F7O,F7O_SAFE_FOR_MODEL_USE,NO_PENDING_LINEAGE_AND_NON_CANONICAL_FLAGS,NO or blocked,YES,,OK
F7O,F7O_SAFE_FOR_R_AGE_OR_CLOCK_RATIO,NO,NO,YES,,OK
F7P,F7P_SAFE_FOR_MODEL_USE,NO,NO,YES,,OK
F7P,F7P_READY_FOR_R_AGE_OR_CLOCK_RATIO_WRITER,NO_PENDING_FM_TAU_LINEAGE_RESOLUTION,NO,YES,,OK
F7Q,F7Q_TAU_FM_MODEL_USE_ALLOWED,NO,NO,YES,,OK
F7Q,F7Q_R_AGE_OR_CLOCK_RATIO_READY,NO,NO,YES,,OK
F7Q,F7Q_FM_CONVENTION_RESOLVED,PARTIAL,PARTIAL or YES,YES,,OK
F7R,F7R_TAU_FM_MODEL_USE_ALLOWED,NO_PENDING_HARDENING,NO before F7R2,YES,,OK
F7R,F7R_R_AGE_OR_CLOCK_RATIO_READY,NO,NO,YES,,OK
F7R,F7R_FAILED_CLOCK_POLICY_DEFINED,NEEDS_POLICY,NEEDS_POLICY until governance memo,YES,,OK
F7R,F7R_FM_CONVENTION_POLICY_DEFINED,PARTIAL,PARTIAL consistent F7Q,YES,,OK
F7R2,F7R2_TAU_FM_MODEL_USE_ALLOWED,NO_PENDING_F7S,NO or scoped only,YES,,OK
F7R2,F7R2_R_AGE_OR_CLOCK_RATIO_READY,NO,NO,YES,,OK
F7R2,F7R2_SAFE_FOR_PHYSICS_CLAIMS,NO,NO,YES,,OK
F7R2,F7R2_READY_FOR_F7S_POST_REPAIR_READINESS_AUDIT,YES,YES before F7S,YES,,OK
TRACE,R_age_unconstrained_ready_any_phase,NO implied,NO,YES,No phase asserts unconstrained ratio readiness,OK
TRACE,CHR_task_table_vs_implementation,N/A OPEN rows,F7R2 closed writer tasks,N/A,aging_F7R_code_hardening_tasks.csv still OPEN for CHR01-CHR05,DRIFT_REFRESH_TABLE
