section_or_artifact,readability_score,clarity_status,main_issue,recommended_edit,docs_promotion_blocking,notes
Overall guide markdown,4,MOSTLY_CLEAR,Repo jargon without gloss hurts first-screen onboarding,Add Quick start plus 5-8 line glossary,NO,
Quick map section,5,CLEAR,Nine-family list is scannable,None blocking optional cross-links to cheatsheet rows,NO,
How to read an observable name,4,CLEAR,Strong three-layer model expand with one visual example line,Add single FM_abs vs FM_signed mini-example,NO,
Direct decomposition section,4,MOSTLY_CLEAR,dM vs DeltaM_signed distinction clear but dense,Break into two short bullets for sharp vs dip_signed,NO,
Derivative extrema combined section,4,MOSTLY_CLEAR,Two families in one heading skim risk,Optional subheadings Derivative vs Extrema,NO,
Stage5 stage6 section,4,MOSTLY_CLEAR,PARTIAL callee caveat may confuse skim readers,Bold one sentence stage5 interface vs kernel,NO,
Bridge tau ratio sections,5,CLEAR,Warnings land well,Keep bridge IDs paired with export wording,NO,
Track A B warning,5,CLEAR,Lane vs object distinction explicit,None,NO,
Sign magnitude warning,5,CLEAR,FM_step_mag trap stated,Repeat cheatsheet good bad pair inline LOW priority,NO,
Safe use matrix CSV,3,PARTIAL,Codes WITH_QUALIFIER NOT_CLAIMED need prose legend in guide,Add decode paragraph to markdown,HIGH,
Minimal metadata checklist CSV,3,PARTIAL,Complete but heavy for humans,Guide already points away optional fake metadata panel example,MEDIUM,
Common misreadings CSV,5,CLEAR,FAQ usable standalone,Promote as appendix link,NO,
Cheatsheet CSV,5,CLEAR,Good bad labels excellent,surface one row in guide body OPTIONAL,NO,
Open caveats section,4,MOSTLY_CLEAR,Blocker list terse cite F7X5 ids,When promoting docs add explicit B-001..B-006 banner,NO,
