Tp,curve_id,n_points,tw_min_seconds,tw_max_seconds,dynamic_range,relative_dynamic_range,monotonic_class,n_turns,peak_tw_seconds,half_rise_tw_seconds_linear,half_range_seconds_heuristic,early_contrast_y36_minus_y3,late_contrast_y3600_minus_y360,last_point_dominates_range,notes
14,legacy_Dip_depth,4,3,3600,1.07321659509135e-06,0.864290388485191,nonmonotonic,1,360,80.1419526283383,NaN,4.5196918041935e-07,-1.4384412783689e-07,0,n=4
14,canonical_Dip_depth_direct_TrackB,4,3,3600,7.10085691619719e-07,1.14428652509375,nonmonotonic,1,3,172.511461726663,NaN,-9.65341481398291e-08,2.84957182660579e-07,0,n=4
18,legacy_Dip_depth,4,3,3600,7.71739078690202e-07,0.56434084653807,increasing,0,3600,174.773013583235,NaN,1.16769947690468e-07,2.668942844931e-08,0,n=4
18,canonical_Dip_depth_direct_TrackB,4,3,3600,5.09237932301971e-07,0.683399481856141,nonmonotonic,2,3600,10.8550815390663,NaN,5.4978148729477e-08,5.09237932301971e-07,1,n=4
22,legacy_Dip_depth,4,3,3600,1.55914722026781e-06,0.803852555961062,increasing,0,3600,244.0944146941,NaN,1.6909161092702e-07,4.3954394840173e-07,0,n=4
22,canonical_Dip_depth_direct_TrackB,4,3,3600,6.06780668972311e-07,0.684403131974193,nonmonotonic,1,3600,12.0215214298315,NaN,-1.3669904611334e-07,6.06780668972311e-07,1,n=4
26,legacy_Dip_depth,4,3,3600,8.05666071305391e-07,0.776985625996361,nonmonotonic,1,36,19.5,NaN,8.05666071305391e-07,-5.2183583744078e-08,0,n=4
26,canonical_Dip_depth_direct_TrackB,4,3,3600,1.06974340461404e-06,0.672992110502286,nonmonotonic,1,3600,1434.08989358823,NaN,-2.7433117766963e-07,8.00118301468085e-07,1,n=4
30,legacy_Dip_depth,3,36,3600,3.9106404300498e-07,0.928831813154317,nonmonotonic,1,36,198,NaN,NaN,2.49218168909334e-07,0,n=3
30,canonical_Dip_depth_direct_TrackB,3,36,3600,5.32552820792288e-07,0.350344584149795,increasing,0,3600,349.402809189789,NaN,NaN,2.5727271978941e-07,1,n=3
34,legacy_Dip_depth,3,36,3600,6.03677159176504e-07,0.92722119285534,nonmonotonic,1,36,198,NaN,NaN,4.17759448143078e-07,0,n=3
34,canonical_Dip_depth_direct_TrackB,3,36,3600,8.57908009511539e-07,0.729211667985626,nonmonotonic,1,360,198,NaN,NaN,-3.66189016775118e-07,0,n=3
14,legacy_FM_abs,4,3,3600,1.40699198855815e-06,0.687333671230469,nonmonotonic,2,3600,17.2021913472673,NaN,8.42433731162097e-07,1.40699198855815e-06,1,n=4
14,canonical_FM_signed_TrackB,0,NaN,NaN,NaN,NaN,flat_noisy,NaN,NaN,NaN,NaN,NaN,NaN,0,empty
18,legacy_FM_abs,4,3,3600,2.04532610048781e-06,0.958861457203098,nonmonotonic,2,360,190.436964523105,NaN,-4.14369636484652e-07,-2.04532610048781e-06,0,n=4
18,canonical_FM_signed_TrackB,4,3,3600,2.72642702869071e-06,1.27816576196078,nonmonotonic,1,3,168.966170071382,NaN,-4.14369636484652e-07,2.04532610048781e-06,0,n=4
22,legacy_FM_abs,4,3,3600,1.20185317848467e-06,0.944339955614622,nonmonotonic,2,3600,1980,NaN,1.52917060597516e-07,1.20185317848467e-06,1,n=4
22,canonical_FM_signed_TrackB,4,3,3600,1.20185317848467e-06,0.944339955614622,nonmonotonic,2,3600,1980,NaN,1.52917060597516e-07,1.20185317848467e-06,1,n=4
26,legacy_FM_abs,4,3,3600,1.47282485064501e-06,0.710044219045262,increasing,0,3600,1591.75535446134,NaN,1.3119315114825e-07,1.18809043676297e-06,1,n=4
26,canonical_FM_signed_TrackB,4,3,3600,1.47282485064501e-06,0.710044219045262,increasing,0,3600,1591.75535446134,NaN,1.3119315114825e-07,1.18809043676297e-06,1,n=4
30,legacy_FM_abs,3,36,3600,1.15744122033238e-06,0.578303542275586,increasing,0,3600,1762.85903191829,NaN,NaN,1.02063739773673e-06,1,n=3
30,canonical_FM_signed_TrackB,3,36,3600,1.15744122033238e-06,0.578303542275586,increasing,0,3600,1762.85903191829,NaN,NaN,1.02063739773673e-06,1,n=3
34,legacy_FM_abs,3,36,3600,3.81660609670392e-07,0.816384614717844,nonmonotonic,1,360,198,NaN,NaN,-2.07525750841362e-07,0,n=3
34,canonical_FM_signed_TrackB,0,NaN,NaN,NaN,NaN,flat_noisy,NaN,NaN,NaN,NaN,NaN,NaN,0,empty
