tau_method_id,tau_method_family,producer_script_or_function,input_component_or_field,input_artifact,output_artifact,fit_family_or_rule,config_keys,lineage_status,allowed_use,component_routes_it_applies_to,component_routes_it_does_not_apply_to,notes
TAU_DIP_CURVEFIT_ZOO,CURVEFIT_DIP_MEMORY,Aging/analysis/aging_timescale_extraction.m,Dip_depth column vs tw per Tp,aging_observable_dataset.csv (or env path),tau_vs_Tp.csv,"logistic stretched exponential half_range consensus columns plus tau_effective_seconds legacy",AGING_OBSERVABLE_DATASET_PATH defaultDatasetPath,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION per F7G meta,"exploration metadata gated","Dip_depth tw curves on consolidation grid","AFM_like Dip_area_selected FM_like FM_E summary vectors","Writer appends WF_TAU_DIP_CURVEFIT metadata"
TAU_FM_CURVEFIT_ZOO,CURVEFIT_FM_ABS_MEMORY,Aging/analysis/aging_fm_timescale_analysis.m,FM_abs column vs tw per Tp,aging_observable_dataset.csv,tau_FM_vs_Tp.csv,"mirror dip zoo on FM_abs magnitude with collapse diagnostics",datasetPath dipTauPath failedDipClockMetricsPath runLabel,LINEAGE_METADATA_HARDENED_PENDING_F7S in sample meta,"exploration row_ratio flags per F7R2","FM_abs consolidation curves","FM_signed FM_like AFM_like without adapter","Requires dip tau table auxiliary paths"
TAU_RESCALING_OPT,COLLAPSE_OPTIMIZER,Aging/analysis/aging_time_rescaling_collapse.m,Dip_depth preferred normalized names,Dip_depth dataset tables,tau_rescaling_estimates.csv,optimizer search over rescaling family,cfg dataset path fragment,"pending_lineage","diagnostic rescaling","Dip_depth memory surfaces","FM primary tau family","Not default F7T dip tau"
TAU_LOG_SLOPE_LEGACY,LEGACY_SLOPE,Aging/analysis/aging_log_time_scaling_test.m,Dip_depth vs log tw,aging_observable_dataset.csv,log_slope_vs_Tp.csv,linear fit log time per Tp,cfg defaults,"sparse F7G","legacy exploration only","Dip_depth","FM_abs clock ratio","Older pattern"
R_CLOCK_RATIO_COMBINATOR,RATIO_PRIOR_TAUS,Aging/analysis/aging_clock_ratio_analysis.m,tau_dip_seconds tau_FM_seconds columns,tau_vs_Tp.csv tau_FM_vs_Tp.csv,table_clock_ratio.csv correlation_summary,"power law on R vs Tp optional bridge merge",dipRunName fmRunName bridge paths,REQUIRES_DIP_FM_SOURCE_RUN_AND_DATASET_IDENTITY,"comparative gated pair files","R_age downstream from tau tables","raw Dip_depth FM_abs without tau pass","Loads prior tau tables only"
R_CLOCK_RATIO_TEMP_SCALING,REGRESSION_ON_RATIO_EXT,Aging/analysis/aging_clock_ratio_temperature_scaling.m,prior clock ratio and tau aux,clock_ratio_data inputs,clock_ratio_data.csv variants,"regression support slices crossoverTemperatureK",cfg crossover,"metadata appended","supporting ratio temperature analysis","R_age extended metrics","stage4 scalars","Not minimal baseline ratio"
METRICS_FM_UNDER_DIP_CLOCK,PREFIT_DIAGNOSTIC_METRICS,Aging/analysis/aging_fm_using_dip_clock.m,FM curves plus external dip tau,tau_vs_Tp.csv plus FM tables,fm_collapse_using_dip_tau_metrics.csv,collapse evaluation under dip clock,cfg paths to dip tau,"diagnostic","dip clock transferred metrics","primary tau_FM extraction","auxiliary"
TAU_NONE_STAGE4,NO_TAU,stage4_analyzeAFM_FM.m (orchestrator only),N/A pauseRuns scalars no tau columns,pauseRuns in-memory,N/A,N/A,cfg stage windows,"N/A","decomposition only","dip_signed AFM_amp FM_step_raw pre-export","tau_vs_Tp tau_FM_vs_Tp","stage4 does not write tau CSV"
TAU_NONE_TRACK_A_SUMMARY,NO_TAU_READER,stage6_extractMetrics.m,AFM_like FM_like per pause summary,summary path not standard tau CSV,N/A,N/A,cfg agingMetricMode,"N/A until chartered adapter","blocked for default dip FM tau readers","AFM_like FM_like per F7V tau_readiness","Dip_depth FM_abs tau extractors as-is","F7V TAU_PATH_FM_A NO_TRACK_A_READER"
TAU_NONE_FM_SIGNED_DEFAULT,NO_DEFAULT_EXTRACTOR,stage4 outputs FM_signed only on pauseRuns,FM_signed vs tw if exported,N/A structured five-column,N/A,N/A,N/A,"low until charter","no default aging_fm_timescale_analysis input","FM_signed plateau series","FM_abs five-column tau path","Charter optional signed tau"
