verdict_key,value
F7C_BOUNDARY_FIX_COMPLETED,YES
PARSE_DATASET_WAIT_SECONDS_INTACT,YES
SIDECAR_HELPER_IS_SIBLING_LOCAL_FUNCTION,YES
NO_NUMERIC_LOGIC_CHANGE,YES
NO_SIDECAR_SEMANTIC_CHANGE,YES
NO_OBSERVABLE_RENAME,YES
NO_FORMULA_CHANGE,YES
NO_PREPROCESSING_CHANGE,YES
NO_ROW_FILTER_CHANGE,YES
NO_MERGE_KEY_CHANGE,YES
F7C_SMOKE_RERUN_SUCCESS,YES
F7C_PATCH_READY_FOR_REVIEW_AGAIN,YES
NO_FULL_STRUCTURED_EXPORT_RUN,YES
NO_MODEL_ANALYSIS_RUN,YES
NO_TAU_R_RECONSTRUCTION_RUN,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
