"Tp","model_family","n_points","tau_candidate","param_A","param_B","rmse","r2","quality_pass","tw_support_class","model_role"
"14","log10_tw_linear_diagnostic_non_primary","4","","6.8899105125044E-07","-1.84816084406034E-07","1.84332894335376E-07","0.568489596155585","NA_DIAGNOSTIC","PREFERRED_TW_SUPPORT","NON_PRIMARY_CONTEXT_ONLY"
"14","single_exponential_approach_primary","4","80","6.13962157545646E-08","6.23390114643439E-07","1.10485766016455E-07","0.844976246253189","YES","PREFERRED_TW_SUPPORT","PRIMARY_PHYSICAL_CANDIDATE"
"18","log10_tw_linear_diagnostic_non_primary","4","","3.98709159121386E-07","4.86260108780597E-08","1.72471108352337E-07","0.0943461573289109","NA_DIAGNOSTIC","PREFERRED_TW_SUPPORT","NON_PRIMARY_CONTEXT_ONLY"
"18","single_exponential_approach_primary","4","20000","2.31758717122157E-06","-1.90785895409535E-06","1.24919229065012E-07","0.524896624210105","NO","PREFERRED_TW_SUPPORT","PRIMARY_PHYSICAL_CANDIDATE"
"22","log10_tw_linear_diagnostic_non_primary","4","","4.53952039798305E-07","5.58563851540564E-08","2.10973292708908E-07","0.0841355071992267","NA_DIAGNOSTIC","PREFERRED_TW_SUPPORT","NON_PRIMARY_CONTEXT_ONLY"
"22","single_exponential_approach_primary","4","20000","2.9466374074604E-06","-2.49397889206772E-06","1.38341211075315E-07","0.606196649693528","YES","PREFERRED_TW_SUPPORT","PRIMARY_PHYSICAL_CANDIDATE"
"26","log10_tw_linear_diagnostic_non_primary","4","","4.03369444705812E-07","2.55263239823694E-07","2.7373270807919E-07","0.532639044381258","NA_DIAGNOSTIC","PREFERRED_TW_SUPPORT","NON_PRIMARY_CONTEXT_ONLY"
"26","single_exponential_approach_primary","4","8000","3.22763605843339E-06","-2.5684867957193E-06","1.01272138577919E-07","0.936029609480968","YES","PREFERRED_TW_SUPPORT","PRIMARY_PHYSICAL_CANDIDATE"
"30","log10_tw_linear_diagnostic_non_primary","3","","5.76124692613411E-07","2.66276410396144E-07","4.24438045581811E-09","0.999619031559828","NA_DIAGNOSTIC","MIN_TW_SUPPORT_ONLY","NON_PRIMARY_CONTEXT_ONLY"
"30","single_exponential_approach_primary","3","500","1.52721834059041E-06","-5.72083758936329E-07","9.94174971599587E-09","0.997909808685575","YES","MIN_TW_SUPPORT_ONLY","PRIMARY_PHYSICAL_CANDIDATE"
"34","log10_tw_linear_diagnostic_non_primary","3","","1.39963360222815E-07","2.4585949636821E-07","2.88522436039194E-07","0.32618511369007","NA_DIAGNOSTIC","MIN_TW_SUPPORT_ONLY","NON_PRIMARY_CONTEXT_ONLY"
"34","single_exponential_approach_primary","3","5","9.93392439334251E-07","-0.000903865963634166","1.49496040085085E-07","0.819099070306087","YES","MIN_TW_SUPPORT_ONLY","PRIMARY_PHYSICAL_CANDIDATE"
