field,value
TASK_COMPLETED,YES
FIX05_ONLY,YES
UPDATED_F01A_POLICY_APPLIED,YES
F01A_FILE_ALLOWED_TRACKED,YES
F01A_FILE_STAGED,NO
STAGED_SET_EXACTLY_FIX05_ARTIFACTS,YES
STAGED_SET_CONTAINS_FORBIDDEN_PATHS,NO
POST_COMMIT_SHOW_CHECKED,YES
POST_COMMIT_CONTAINS_ONLY_FIX05_ARTIFACTS,YES
POST_COMMIT_CONTAINS_FORBIDDEN_PATHS,NO
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
FULL_RUN_COMMITTED,NO
ROW_IDENTITY_TARGETED,YES
DIP_BRANCH_CLOSED_UPSTREAM,YES
FM_BRANCH_CLOSED_UPSTREAM,YES
SIDECAR_METADATA_CLOSED_UPSTREAM,YES
DIP_ROW_IDENTITY_KEY_IDENTIFIED,YES
FM_ROW_IDENTITY_KEY_IDENTIFIED,YES
TP_TPAUSE_WAIT_TEMPERATURE_COMPATIBLE_FOR_BOTH,YES
WAIT_TIME_AXIS_COMPATIBLE_FOR_BOTH,YES
SOURCE_DATASET_ID_MATCHES_FOR_BOTH,YES
SOURCE_RUN_TOKEN_MATCHES_FOR_BOTH,YES
CONSOLIDATED_UPSTREAM_DATASET_MATCHES_FOR_BOTH,YES
COMPONENT_OBSERVABLE_IDS_DISTINCT,YES
DIP_FM_ROWS_COREGISTERED_BY_TP,YES
FINITE_OVERLAP_DOMAIN_IDENTIFIED,YES
MISSING_DUPLICATE_UNMATCHED_ROWS_AUDITED,YES
ROW_LEVEL_LINKS_RUN_LOCAL_REMAIN,YES
ROW_IDENTITY_BLOCKER_CLOSED_AFTER_FIX05,PARTIAL
ROW_IDENTITY_BLOCKER_STATUS_AFTER_FIX05,PARTIAL_BODY_RUN_LOCAL
DIP_TAU_CANONICAL_READY_AFTER_FIX05,PARTIAL
FM_TAU_CANONICAL_READY_AFTER_FIX05,PARTIAL
TAU_CANONICAL_SET_READY_AFTER_FIX05,NO
SAFE_TO_USE_TAU_AS_CANONICAL_EVIDENCE_AFTER_FIX05,NO
SAFE_TO_RUN_RATIOS_AFTER_FIX05,NO
SAFE_TO_RUN_COMPARISON_RUNNER_AFTER_FIX05,NO
READY_FOR_FIX06_READINESS_GATE,YES
READY_FOR_ARCHIVE_COMMIT,YES
