pathway_id,component,row_identity_key,key_field,key_field_role,key_field_value_or_semantics,source_evidence_path,committed_evidence_available,run_local_dependency,status,limitation
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP,tau_bundle_contract,ID_TAU_VS_TP_ROW,canonical_row_identity_key_token,ID_TAU_VS_TP_ROW,tables/aging/aging_prb02b_f7v_bridge_ledger.csv; tables/aging/aging_prb03_tau_bundle_inventory.csv,YES,NO,PASS,Semantic key only; numeric UID bridge partial per PRB03
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP,Tp_numeric,Tp,wait_temperature_index_per_summary_row,"14,18,22,26,30,34 in baseline block",tables/aging/aging_prb02b_f7v_bridge_ledger.csv,YES,NO,PASS,Tp not Tpause label in column header
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP,tw_grain_token,tw,tau_table_export_grain_semantics,NOT_APPLICABLE_TP_SUMMARY_EXPORT,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,YES,NO,PASS,tw not row key in tau_vs_Tp export per ledger notes
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP,co_registration_group,co_registered_group_id,joint_Dip_FM_pairing_token,CO_REG_BASELINE_TP_<Tp>_PRB02B,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,YES,NO,PASS,
AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,DIP,pathway_disambiguation,pathway_id,separate_FMG_and_DIP_lanes,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,tables/aging/aging_prb03_tau_bundle_inventory.csv,YES,NO,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,tau_bundle_contract,ID_TAU_VS_TP_ROW,same_key_family_as_Dip,ID_TAU_VS_TP_ROW,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,YES,NO,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,Tp_numeric,Tp,same_Tp_set_as_Dip,six knots matched pairwise,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,YES,NO,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,tw_grain_token,tw,matched_grain_token,NOT_APPLICABLE_TP_SUMMARY_EXPORT,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,YES,NO,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,co_registration_group,co_registered_group_id,same_group_per_Tp_as_Dip,CO_REG_BASELINE_TP_<Tp>_PRB02B,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,YES,NO,PASS,
AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,pathway_disambiguation,pathway_id,FM_branch,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,tables/aging/aging_prb03_tau_bundle_inventory.csv,YES,NO,PASS,
