step_order,step_name,description,prerequisites_notes
1,Sidecar_helper_committed,"F7A aging_lineage_sidecar_utils committed baseline","None"
2,Structured_export_sidecar_patch,"WO_STRUCTURED_EXPORT emits sidecars via helper API","Step 1"
3,Tau_extraction_sidecar_patch,"WO_TAU_EXTRACTION emits sidecars","Steps 1 to 2 recommended"
4,Clock_ratio_sidecar_patch,"WO_CLOCK_RATIO emits sidecars ratio identities","Steps 1 to 3 recommended"
5,Consolidation_sidecar_patch,"WO_CONSOLIDATION emits sidecars pooled tables","Steps 1 to 4 recommended"
6,Lineage_validator_rerun,"Contract validator audit migration per policy","Steps 2 to 5 for writer outputs"
7,Lineage_replay_legacy,"Replay prioritized legacy outputs with lineage metadata","Steps 2 to 6"
8,Canonical_reconstruction_candidates,"Rebuild scientific intent on resolved observables only","Steps 2 to 7"
9,Model_readiness_audit,"Label audit against F6Z taxonomy when tables exist","Step 8"
10,Review_stage_visualization_checkpoint,"PNG and FIG exports per visualization_rules figure_style_guide figure_export_infrastructure for human review of replay or reconstruction candidates figures are diagnostic review artifacts not canonical proof","Steps 7 to 9 when figures are produced for review cross-cutting with section 10 of committed plan"
11,Model_analysis_gated,"Downstream model use only if labels gates and review-stage figure policy satisfied","Steps 9 and 10 complete review-stage PNG FIG where export rules apply figures remain diagnostic not canonical proof"
