concept_name,where_defined,definition_summary,subtraction_or_reference_rule,window_or_region,smoothing_or_fit_dependency,sign_dependency,used_by_objects,definition_status,risk_if_ambiguous,notes
smooth_FM_background,analyzeAFM_FM_components.m header and loop,"Smooth component of DeltaM on T axis used as FM-like background for residual dip","dM_sharp = dM - dM_smooth; dip_signed = DeltaM_signed - dM_smooth","Full T_common support; dip_window_K for dip metric extraction only","sgolayfilt on interpolated dM_work; winPts from smoothWindow_K and dT","dip_signed uses DeltaM_signed not legacy dM for canonical dip","DeltaM_sharp dip_signed AFM_RMS AFM_amp AFM_area",EXPLICIT,"Low if cfg logged","dM for sharp uses legacy-compatible dM; dip_signed uses signed branch per code comments"
residual_sharp_DeltaM,analyzeAFM_FM_components.m,"High-frequency residual after subtracting smooth background","DeltaM_sharp = dM - dM_smooth","Same T grid as DeltaM","Depends on smooth pass first","inherits dM sign","DeltaM_sharp DeltaM_sharp_observable",EXPLICIT,"Medium if dM vs DeltaM_signed confusion","dM is active analysis observable in code not always same as DeltaM_signed"
canonical_signed_dip,analyzeAFM_FM_components.m,"Signed dip layer","dip_signed = DeltaM_signed - DeltaM_smooth","dip_window_K masks dipVals for AFM metrics","smooth must exist","signed","dip_signed AFM_amp AFM_area AFM_RMS",EXPLICIT,"Low","dip_definition_canonical field written on pauseRuns"
plateau_baseline_FM,analyzeAFM_FM_components.m headers,"FM from left and right plateaus outside dip via computeFMFromBases","FM step is difference of plateau levels not a simple subtract from smooth","FM_plateau_K FM_buffer_K dip_window_K cfg","Robust path may differ from core direct variant","FM_signed preserves sign FM_abs later abs","FM_step_raw FM_step_mag FM_signed",PARTIAL,"High without cfg snapshot which variant ran","Header documents multiple variants default path note says derivative-assisted override"
stage4_router_Dip_depth_fill,stage4_analyzeAFM_FM.m,"Dip_depth may be filled from AFM_amp when empty","Assign Dip_depth = AFM_amp when missing","Implicit per pause scalar","No extra smooth","unsigned depth style","Dip_depth Dip_depth_source",EXPLICIT,"Medium","Dip_depth_source afm_amp_residual or unset"
Gaussian_dip_baseline,stage5_fitFMGaussian via fitFMstep_plus_GaussianDip,"Parametric dip+step model baseline for fit metrics","Not same subtraction as stage4 smooth","fitOpts windowFactor minWindow_K","Nonlinear least squares style fit in callee","fit magnitudes","Dip_A Dip_sigma FM_E Dip_area_fit",INFERRED,"High vs direct dip","stage5 does not replace stage4 Dip_depth contract"
Dip_area_overload,stage5_fitFMGaussian.m comments,"Dip_area legacy mirrors selected area","selected from Dip_area_fit or Dip_area_direct per dipAreaSource","per pause","cfg.dipAreaSource switchingMetricMode","nonnegative rectification in AFM area branch only for area metric","Dip_area Dip_area_selected",EXPLICIT,"Medium","Comments say overloaded legacy use Dip_area_selected_source"
extrema_smoothed_baseline,analyzeAFM_FM_extrema_smoothed.m,"movmean smoothed trace then extrema features","Different pipeline than sgolay smooth in direct","movmean window 11 per file body","smoothing required before extrema","magnitude extrema outputs","AFM_extrema_smoothed FM_extrema_smoothed",PARTIAL,"Medium vs direct smooth","Separate branch cfg.agingMetricMode extrema_smoothed"
derivative_assisted_FM,analyzeAFM_FM_derivative.m header,"Reuses direct decomposition per header; derivative-assisted scalars","Result struct merged into pauseRuns","T and dM or DeltaM_signed per orchestrator","derivative numerical pipeline","signed outputs per router","pauseRuns derivative fields",PARTIAL,"High without field-by-field audit","Full derivative output set not enumerated in this survey pass"
baseline_slope_status,stage4_analyzeAFM_FM.m,"Diagnostics baseline_slope baseline_status on pauseRuns","Not primary dip FM split","dip_window diagnostic block","Tmin uses light movmean in window","N/A","baseline_slope baseline_status",INFERRED,"Low","Supporting validity narrative"
