verdict_key,verdict_value
F6K_ROOT_CAUSE_AUDIT_COMPLETED,YES
ARCHIVED_LEGACY_LINEAGE_TRACED,YES
CURRENT_LINEAGE_TRACED,YES
SAME_OBSERVABLE_CONTRACT_CONFIRMED,YES
UPSTREAM_DIP_SOURCE_MATCHES,NO
SOURCE_TRACE_ALIGNMENT_CONFIRMED,NO
DIP_GAP_ROOT_CAUSE_IDENTIFIED,YES
PRIMARY_ROOT_CAUSE,CURRENT_EXPORT_NOT_EQUIVALENT_TO_ARCHIVED_EXPORT
OLD_DATASET_BIT_REPLAYABLE_FROM_CURRENT_EXPORTS,NO
OLD_DATASET_REPLAYABLE_FROM_ARCHIVED_INPUTS,YES
CURRENT_EXPORT_EQUIVALENT_TO_ARCHIVED_EXPORT,NO
READY_FOR_PARITY_REPLAY_FIX,YES
READY_FOR_DIRECT_NON_RMS_METHOD_SEARCH,NO
NEW_METHOD_SEARCH_PERFORMED,NO
R_VS_X_ANALYSIS_PERFORMED,NO
MECHANISM_VALIDATION_PERFORMED,NO
