object_name,input_signal,processing_step,smoothing_policy,window_policy,normalization_policy,fit_dependency,threshold_or_extrema_rule,sign_policy,source_location,definition_status,notes
DeltaM,M_pause M_noPause or pipeline DeltaM,stage3_computeDeltaM and predecessors,varies by upstream,N/A,N/A,N/A,N/A,signed if DeltaM_signed used,Aging pipeline stage3 inferred,PARTIAL,"Canonical comment in stage4: DeltaM_signed = M_pause - M_noPause"
DeltaM_smooth,dM_work on T,sgolayfilt order 2 winPts,winPts from smoothWindow_K scaled by median dT,excludeLowT_FM masks when cfg,linear interp fill NaN regions before filter,N/A,N/A,finite mask,Aging/models/analyzeAFM_FM_components.m,EXPLICIT,"Comment block calls FM smooth background step 1"
DeltaM_sharp,dM and dM_smooth,subtract smooth from active dM,N/A,N/A,N/A,N/A,N/A,matches dM observability,Aging/models/analyzeAFM_FM_components.m,EXPLICIT,"dM_sharp = dM - dM_smooth legacy-compatible"
dip_signed,DeltaM_signed dM_smooth,subtract smooth from signed DeltaM,N/A,N/A,N/A,N/A,N/A,signed canonical dip,Aging/models/analyzeAFM_FM_components.m,EXPLICIT,"dip_signed = DeltaM_signed - dM_smooth"
AFM_RMS,dipVals in dip_window,sqrt mean square,N/A,T in Tp plus minus dip_window_K,N/A,N/A,min 5 points in mask,N/A,Aging/models/analyzeAFM_FM_components.m,EXPLICIT,"dipVals from dM_sharp maskDip"
AFM_amp,dipVals height mode,mean of dipVals,N/A,same dip window,N/A,N/A,same,N/A,Aging/models/analyzeAFM_FM_components.m,EXPLICIT,"dipMetric height branch"
AFM_area,dipVals area mode,max0 rectification then trapz,N/A,same dip window,N/A,N/A,y=max(0,dM_sharp),N/A,Aging/models/analyzeAFM_FM_components.m,EXPLICIT,"dipMetric area branch not canonical signed dip"
FM_step_raw,plateau levels,computeFMFromBases,N/A,left right plateau windows from FM_buffer dip_window,N/A,N/A,plateau validity gates,signed FM,Aging/models/analyzeAFM_FM_components.m,PARTIAL,"Multiple code paths robust vs core"
FM_step_mag,FM_step_raw,copy raw to mag field,N/A,N/A,N/A,N/A,N/A,signed value misleading name,Aging/models/analyzeAFM_FM_components.m,EXPLICIT,"Assignment FM_step_mag = FM_step_raw documented freeze"
FM_abs,FM_signed,abs when finite,N/A,N/A,N/A,N/A,N/A,ABS_ONLY,Aging/pipeline/stage4_analyzeAFM_FM.m,EXPLICIT,""
Dip_depth,AFM_amp or prior field,orchestrator fill when empty,N/A,N/A,N/A,N/A,N/A,depth scalar,Aging/pipeline/stage4_analyzeAFM_FM.m,PARTIAL,"Binding to AFM_amp when blank"
Dip_area_selected,Dip_area_fit or Dip_area_direct,cfg dipAreaSource switch,N/A,per pause,N/A,Gaussian fit fields unless direct mode,N/A,nonnegative selection,N/A,Aging/pipeline/stage5_fitFMGaussian.m,EXPLICIT,"Dip_area_selected_source recorded"
FM_E,windowed FM fit,fitFMstep_plus_GaussianDip output,tanh window RMS per callee,N/A,N/A,required,N/A,fit magnitude,Aging/pipeline/stage5_fitFMGaussian.m,INFERRED,"Details in fit helper not fully read"
AFM_like,Dip_area_selected or extrema abs,stage6 vector select,N/A,per Tp pause list,N/A,stage5 or extrema,N/A,summary magnitude,Aging/pipeline/stage6_extractMetrics.m,EXPLICIT,"cfg.AFM_metric_main height vs area"
FM_like,FM_E or extrema,stage6 vector select,N/A,per Tp,N/A,fit or extrema,N/A,summary magnitude,Aging/pipeline/stage6_extractMetrics.m,EXPLICIT,""
AFM_extrema_smoothed,smoothed DeltaM,extrema on smoothed curve,movmean in extrema file,N/A,N/A,N/A,extrema heuristic,N/A,Aging/models/analyzeAFM_FM_extrema_smoothed.m,PARTIAL,"Read header only partial body"
aging_observable_dataset rows,observable_matrix columns,rename filter identity map,N/A,N/A,N/A,N/A,duplicate key guard,N/A,Aging/analysis/run_aging_observable_dataset_consolidation.m,EXPLICIT,"Five column contract"
tau_vs_Tp rows,Dip_depth curves,buildTauTable logistic stretched half_range consensus,N/A,per Tp after groupby tw,N/A,multi fit models,half_range status,N/A,Aging/analysis/aging_timescale_extraction.m,PARTIAL,"Many columns per method"
