metadata_column,expected_pattern_or_value_notes,present,row0_value_excerpt,validation_note
writer_family_id,WF_TAU_FM_CURVEFIT,YES,WF_TAU_FM_CURVEFIT,Exact match row 0
tau_or_R_flag,TAU uppercase,YES,TAU,Match writer contract
tau_domain,FM_ABS_CURVEFIT,YES,FM_ABS_CURVEFIT,Match aging_fm_timescale_analysis f7gMeta
tau_input_observable_identities,JSON FM_abs column ref,YES,"{""FM_abs"":""consolidated_aging_observable_dataset_column""}",Expected string
tau_input_observable_family,FM_abs_memory_curve,YES,FM_abs_memory_curve,Match
source_writer_script,Aging/analysis/aging_fm_timescale_analysis.m,YES,Aging/analysis/aging_fm_timescale_analysis.m,Match
source_artifact_basename,tau_FM_vs_Tp.csv,YES,tau_FM_vs_Tp.csv,Match
source_artifact_path,Absolute path under run_dir tables,YES,C:\Dev\matlab-functions\results\aging\runs\run_2026_05_02_225424_F7O_FM_METADATA_VERIFY_22ROW\tables\tau_FM_vs_Tp.csv,Points at this F7O-A run root
canonical_status,non_canonical_pending_lineage,YES,non_canonical_pending_lineage,Conservative pending lineage
model_use_allowed,NO_UNLESS_LINEAGE_RESOLVED,YES,NO_UNLESS_LINEAGE_RESOLVED,Conservative encoding
semantic_status,tau_effective legacy FM alias,YES,tau_effective_seconds_is_legacy_alias_FM_ABS_CURVEFIT,Match code literal
lineage_status,FM convention resolution,YES,REQUIRES_DATASET_PATH_AND_FM_CONVENTION_RESOLUTION,Match code literal
