field,value
TASK_COMPLETED,YES
FIXPLAN_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
BASELINE_DIP_FM_LANE_TARGETED,YES
NONCANONICAL_TAU_LANES_EXCLUDED,YES
SHARED_BLOCKERS_IDENTIFIED,YES
DIP_BLOCKERS_IDENTIFIED,YES
FM_BLOCKERS_IDENTIFIED,YES
SIDECAR_BLOCKERS_IDENTIFIED,YES
ROW_IDENTITY_BLOCKERS_IDENTIFIED,YES
POLICY_BLOCKERS_IDENTIFIED,YES
ORDERED_FIX_SEQUENCE_CREATED,YES
PARALLELIZATION_STRUCTURE_DEFINED,YES
DIP_TAU_CANONICAL_READY_NOW,PARTIAL
FM_TAU_CANONICAL_READY_NOW,PARTIAL
TAU_CANONICAL_SET_READY_NOW,NO
SAFE_TO_USE_TAU_AS_CANONICAL_EVIDENCE_NOW,NO
SAFE_TO_RUN_RATIOS_NOW,NO
SAFE_TO_RUN_COMPARISON_RUNNER_NOW,NO
READY_FOR_FIX_TASK_01,YES
READY_FOR_ARCHIVE_COMMIT,YES
