sector,Tp,cell_code,tau_seconds,pass_fail,rmse,r2,n_methods_or_na
DIP,22,A_legacy_legacy,183.026329123301,PASS,NaN,NaN,3
DIP,22,B_legacy_canonical,282.079156549101,PASS,1.17884493722858e-09,0.999996702030991,NaN
DIP,22,C_canonical_legacy,2173.18524828122,PASS,NaN,NaN,3
DIP,22,D_canonical_canonical,1605421944.97785,PASS,1.37030652166993e-07,0.613622605665646,NaN
DIP,26,A_legacy_legacy,9.39314322655396,PASS,NaN,NaN,3
DIP,26,B_legacy_canonical,1.42323138978539,PASS,4.49538295721687e-08,0.980632491311211,NaN
DIP,26,C_canonical_legacy,771.038461886337,PASS,NaN,NaN,3
DIP,26,D_canonical_canonical,7243.34834926389,PASS,1.01268152653662e-07,0.936034644945154,NaN
DIP,30,A_legacy_legacy,18756954.7248547,PASS,NaN,NaN,2
DIP,30,B_legacy_canonical,13.3768277080251,PASS,1.01742891413063e-07,0.60382661101017,NaN
DIP,30,C_canonical_legacy,0.0922121852113807,PASS,NaN,NaN,3
DIP,30,D_canonical_canonical,445.553023308221,PASS,5.94752956468549e-20,1,NaN
FM,22,A_legacy_legacy,1281.50147352383,PASS,NaN,NaN,1
FM,22,B_legacy_canonical,625726477.464033,PASS,1.33891672100015e-07,0.919845407058831,NaN
FM,22,C_canonical_legacy,1281.50147352383,PASS,NaN,NaN,1
FM,22,D_canonical_canonical,625726477.464033,PASS,1.33891672100015e-07,0.919845407058831,NaN
FM,26,A_legacy_legacy,863.920752533678,PASS,NaN,NaN,1
FM,26,B_legacy_canonical,2674.06849631512,PASS,3.82381077243817e-08,0.995748480175219,NaN
FM,26,C_canonical_legacy,863.920752533678,PASS,NaN,NaN,1
FM,26,D_canonical_canonical,2674.06849631512,PASS,3.82381077243817e-08,0.995748480175219,NaN
FM,30,A_legacy_legacy,975.626714166143,PASS,NaN,NaN,1
FM,30,B_legacy_canonical,5830.05587173932,PASS,1.0353259898751e-20,1,NaN
FM,30,C_canonical_legacy,975.626714166143,PASS,NaN,NaN,1
FM,30,D_canonical_canonical,5830.05587173932,PASS,1.0353259898751e-20,1,NaN
