field,value
TASK_COMPLETED,YES
POST_FIX07_BODY_GATE_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
BODY_GATE_TARGETED,YES
FIX07_CONTRACT_FOUND,YES
BASELINE_DIP_BODY_COMMITTED,NO
BASELINE_FM_BODY_COMMITTED,NO
ROW_BODY_LINKS_CANONICAL,PARTIAL
COMPARISON_ELIGIBLE_ROWS_NONZERO,NO
PRB03_WARN_STATUS_REMAINS,YES
BODY_LEVEL_CANONICALIZATION_CLOSED,NO
BODY_LEVEL_CANONICALIZATION_STATUS,RUN_LOCAL_BODY_REFERENCES_AND_ZERO_ELIGIBLE_ROWS
SAFE_TO_RUN_RATIOS_AFTER_BODY_GATE,NO
SAFE_TO_RUN_COMPARISON_RUNNER_AFTER_BODY_GATE,NO
NEXT_BODY_PROMOTION_TASK_REQUIRED,YES
COLLAPSE_OPTIMIZER_EXCLUDED,YES
OLDFIT_FORENSIC_EXCLUDED,YES
NONBASELINE_TAU_EXCLUDED,YES
SAFE_TO_STAGE_BODY_GATE_ARTIFACTS,YES
SAFE_TO_COMMIT_BODY_GATE_ARTIFACTS,YES
