Tp,tw,Dip_depth_archived_replay,FM_abs_archived_replay,source_run_archived,source_manifest_commit,provenance_status,replay_class,canonical_evidence
6,3,3.27732274143177e-07,NaN,run_2026_03_10_223913_tp_6_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
6,36,7.99508634517402e-07,NaN,run_2026_03_10_223913_tp_6_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
6,360,9.23676895617443e-07,NaN,run_2026_03_10_223913_tp_6_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
6,3600,3.92977295782975e-07,NaN,run_2026_03_10_223913_tp_6_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
10,3,1.42556527773531e-08,NaN,run_2026_03_10_224229_tp_10_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
10,36,1.03585720097351e-06,NaN,run_2026_03_10_224229_tp_10_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
10,360,1.16197537325971e-06,NaN,run_2026_03_10_224229_tp_10_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
10,3600,2.83966127861751e-07,NaN,run_2026_03_10_224229_tp_10_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
14,3,1.68514898616842e-07,9.80975321930083e-07,run_2026_03_10_225135_tp_14_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
14,36,6.20484079036192e-07,1.82340905309218e-06,run_2026_03_10_225135_tp_14_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
14,360,1.24173149370819e-06,6.40037056358776e-07,run_2026_03_10_225135_tp_14_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
14,3600,1.0978873658713e-06,2.04702904491693e-06,run_2026_03_10_225135_tp_14_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
18,3,5.95766185946248e-07,5.93349215287068e-07,run_2026_03_10_225902_tp_18_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
18,36,7.12536133636716e-07,1.78979578802416e-07,run_2026_03_10_225902_tp_18_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
18,360,1.34081583618714e-06,2.13307781340364e-06,run_2026_03_10_225902_tp_18_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
18,3600,1.36750526463645e-06,8.77517129158269e-08,run_2026_03_10_225902_tp_18_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
22,3,3.80446314275027e-07,1.94428480485198e-07,run_2026_03_10_231114_tp_22_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
22,36,5.49537925202047e-07,3.47345541082714e-07,run_2026_03_10_231114_tp_22_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
22,360,1.50004958614111e-06,7.08380502820365e-08,run_2026_03_10_231114_tp_22_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
22,3600,1.93959353454284e-06,1.27269122876671e-06,run_2026_03_10_231114_tp_22_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
26,3,2.31246381575899e-07,6.01447161069129e-07,run_2026_03_10_231719_tp_26_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
26,36,1.03691245288129e-06,7.32640312217379e-07,run_2026_03_10_231719_tp_26_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
26,360,9.62591417199795e-07,8.86181574951173e-07,run_2026_03_10_231719_tp_26_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
26,3600,9.10407833455717e-07,2.07427201171414e-06,run_2026_03_10_231719_tp_26_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
30,36,4.21027830298926e-07,8.44001163675723e-07,run_2026_03_10_220738_tp_30_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
30,360,2.99637872939464e-08,9.80804986271369e-07,run_2026_03_10_220738_tp_30_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
30,3600,2.7918195620328e-07,2.0014423840081e-06,run_2026_03_10_220738_tp_30_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
34,36,6.51060570905961e-07,8.58403730646882e-08,run_2026_03_10_232934_tp_34_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
34,360,4.7383411729457e-08,4.6750098273508e-07,run_2026_03_10_232934_tp_34_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
34,3600,4.65142859872535e-07,2.59975231893718e-07,run_2026_03_10_232934_tp_34_structured_export,ec3ea0b499da9b7b3867a4cb07779797c2713795,ARCHIVED_TRACEABLE,ARCHIVED_LINEAGE_REPLAY,NO
