"FILE","CLASSIFICATION","REASON","EXECUTION_REACHABLE"
"Switching/analysis/analyze_phi_kappa_canonical_space.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/checkNoDuplicateTemps.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/computeMetrics.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/debug_fix_o2_pipeline.m","NON_CANONICAL","DEBUG","NO"
"Switching/analysis/ensureDir.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/find_relaxation_time_series.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/formatNum.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/getVarByCandidates.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/inspect_relaxation_data_structure.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/leaveOneOutPredict.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/locate_relaxation_raw_runs.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/pearsonCorrelation.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/phi1_phi2_driver_helpers.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/phi2_deformation_helpers.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/phi2_shape_helpers.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/relImprovement.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_aging_collapse_kappa1_kappa2.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_aging_kappa_comparison.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_aging_nonlinear_law_test.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_alpha_observable_search.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_alpha_physical_validity_test.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_asymmetric_spread_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_build_relaxation_dataset.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_collapse_failure_mode_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_extract_tau_from_relaxation.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_kappa2_kww_shape_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_kappa2_opening_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_kappa2_operational_signature_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_kappa2_physical_necessity.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_minimal_canonical.m","NON_CANONICAL","LEGACY","NO"
"Switching/analysis/run_parameter_robustness_switching_canonical.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi1_observable_phi2_driver_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi1_phi2_observable_closure_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi2_deformation_structure_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi2_extended_deformation_basis_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","NON_CANONICAL","NOT_REFERENCED","NO"
