flag,value
REPO_INFRA_03B_TASK_COMPLETED,YES
INFRA_03_OUTPUTS_INSPECTED,YES
USER_CLARIFICATION_RECORDED,YES
ALL_FIGURE_PATHS_FUTURE_PROMOTABLE_BY_DEFAULT,YES
QUARANTINE_TEMPORARY_ONLY,YES
CV06_MANDATORY_FIX_REQUIRED,YES
CV06_FINAL_RESOLUTION_EXPORT_COMPLIANCE,YES
CV07_MANDATORY_FIX_REQUIRED,YES
CV07_FINAL_RESOLUTION_MATLAB_REPLACEMENT_OR_RETIREMENT,YES
P0_FIGURE_PATHS_LEFT_AS_OPTIONAL,NO
MANDATORY_CONVERSION_QUEUE_WRITTEN,YES
NO_EXISTING_ARTIFACTS_EDITED,YES
NO_FIGURES_REGENERATED,YES
NO_SCIENTIFIC_RERUN,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
