check,result,evidence_path,severity,recommendation,notes
Staged index empty for audit preflight,PASS (empty),git diff --cached,info,None required,Proceeded per SW-CANON-SURVEY-B guardrail.
Repo execution rules consulted,PASS,docs/repo_execution_rules.md,info,Keep static-first audits default for governance reviews,Defines wrapper-only MATLAB and execution_status signaling expectations.
Switching analysis map present and binding-style,PASS,docs/switching_analysis_map.md,info,Maintain namespace_id in all new prose and scripts,Declares producer split and manuscript path.
Canonical producer documented as mixed-output,PASS,Switching/analysis/run_switching_canonical.m,info,Keep column-namespace headers and splitter tables current,Header references contracts and current-state report.
Authoritative corrected-old gate readable,PASS,tables/switching_corrected_old_authoritative_builder_status.csv; reports/switching_corrected_canonical_current_state.md,info,Use builder_status as gate before publication claims,Sample shows ALL_REQUIRED_GATES_PASSED YES.
Current-state hub links tables and reports,PASS,reports/switching_corrected_canonical_current_state.md,info,Keep as primary onboarding doc,Explicit pointers to index quarantine and column namespace.
Governance persistence manifest,PASS,docs/switching_governance_persistence_manifest.md,info,Refresh when authoritative set changes,Lists SoT pointers and quarantine rules.
Artifact policy hierarchy,PASS,docs/switching_artifact_policy.md,low,Reconcile policy text with actual promoted path conventions,policy mentions tables/switching/ subdir; many durable tables live as tables/switching_*.csv
Run context canonical enforcement,PASS,Switching/utils/createSwitchingRunContext.m; Switching/utils/assertSwitchingRunDirCanonical.m,info,Do not bypass for new Switching runs,Enforces run_dir under switching runs root.
Execution status writer present,PASS,Switching/utils/writeSwitchingExecutionStatus.m,info,Align new scripts with writer and schema docs,Referenced from grep survey.
results/switching/runs population,PASS (231 run dirs),results/switching/runs (shell count),info,Prefer run-scoped artifacts for new work,Supports lineage story in artifact policy.
run_registry lists switching runs,PASS,analysis/knowledge/run_registry.csv,low,Optionally improve snapshot_has_entry coverage for discoverability,Sampled rows often snapshot_has_entry 0.
Dedicated Switching/validation package,FINDING: no files observed,Switching/validation/ (glob),medium,Add read-only validation scripts or document intentional absence,Risk: newcomers expect tests folder by name.
Switching LEGACY_NOTE vs canonical governance,TENSION,Switching/LEGACY_NOTE.md; docs/switching_analysis_map.md,low,Add one-line bridge in LEGACY_NOTE pointing to current-state doc,Avoid implying whole module is only legacy when canonical contracts exist.
Git cleanliness for reproducible visuals,FAIL (tracked deletions present),git status --short figures/switching/phase4B_*,high,Restore or replace deleted figures and commit intentionally,Deleted PNG/FIG for phase4B panels weaken clone-only figure reproducibility.
Untracked Switching entrypoints in workspace,FINDING,multiple ?? Switching/analysis and scripts/run_switching* in git status,medium,Track or archive per maintenance policy; avoid shadow workflows,Important scripts invisible to collaborators relying on git alone.
Phi1 filename hazard documented,PASS,docs/switching_phi1_terminology_contract.md; tables/switching_phi1_terminology_registry.csv,info,Enforce terminology in new outputs,Prevents canonical_phi1.csv confusion.
P0 effective observables artifacts,PASS,tables/switching_P0_effective_observables_status.csv; scripts/run_switching_P0_effective_observables_recipe_parity.ps1,info,Keep status keys when extending observables,Explicit scaling-claim gate NO where appropriate.
Phase 3 coordinate identifiability artifacts,PASS,tables/switching_coordinate_identifiability_status.csv; reports/switching_coordinate_identifiability_audit.md,info,Treat uniqueness gaps as first-class inputs to collapse work,Honest PARTIAL/NO entries.
Phase 4B C02B tables and status,PASS,tables/switching_phase4B_C02B_status.csv; reports/switching_phase4B_C02B_primary_collapse_variant_audit.md,info,Repair git-tracked figure deletion separately from science,Status claims outputs written; git shows figure deletions elsewhere.
Quarantine visibility,PASS,reports/switching_quarantine_index.md; tables/switching_misleading_or_dangerous_artifacts.csv,info,Keep registry and index synchronized on promotions,Both referenced from current-state doc.
