check_name,applies_to_script_or_family,module,required_before,description,pass_criterion,status_now,notes
input_file_identity_match,All non-MATLAB scientific runners,All,canonical_promotion,Inputs must match declared lineage paths and hashes where repo policy requires,captured paths exist and match manifest keys; optional SHA256 when runner supports,PENDING,Exact path strings as stored in repo on Windows
input_row_count_match,Table-writing runners,All,parity_sign_off,Row counts for joined keys align across MATLAB replay,N_rows match exactly for keyed exports,PENDING,Includes header rules per table contract
input_schema_match,CSV writers,All,parity_sign_off,Column names and order match reference schema when schema is normative,exact header string match,PENDING,Relaxation RLX tables use strict schemas in practice
output_schema_match,CSV writers,All,parity_sign_off,Written CSV columns equal MATLAB parity outputs except labeled extras,headers equal unless MATLAB adds PASS/FAIL audit columns with documented rule,PENDING,Extra MATLAB audit columns allowed if documented in runner header
key_metric_numeric_tolerance,Derivative smoothing fitting pipelines,"Relaxation RLX-21 through RLX-24; AX-18C",manuscript_evidence,Numeric metrics reproduce within tolerance,direct sums means correlations abs tol 1e-10 where arithmetic is stable; RLX derivative grids larger tol only with documented grid delta,PENDING,Larger tolerance requires smoothing justification memo
classification_flag_match,RLX-23 RLX-24 classification CSVs,Relaxation,manuscript_evidence,Discrete labels reproduce,string equality on classification codes,PENDING,Includes READY_FOR_* style gates where applicable
status_flag_match,relaxation_*_status.csv writers,Relaxation,parity_sign_off,Machine-readable flags reproduce,key=value pairs match,PENDING,
figure_output_fig_png_if_any,Figure-producing scripts,Switching Relaxation Tools Aging,campaign_specific_any_publication_figure,Scientific figures emit MATLAB fig plus png per INFRA-01B default,.fig and .png exist for same stem after MATLAB conversion,PENDING,Overrides require explicit user approval recorded per task
matlab_reviewable_source_available,All parity-target pipelines,All,canonical_promotion,Readable MATLAB script implements authoritative computation,.m source checked into repo,PENDING,Helpers split per runnable-script contract in docs/repo_execution_rules.md
no_hidden_data_source,Cross-module runners,CrossModule,parity_sign_off,No undisclosed downloads or mutable caches as computation inputs,inputs enumerated in report,PENDING,
no_nonmatlab_figure_generation,Publication Switching pack and Aging tooling,Switching Aging Tools,campaign_specific_any_publication_figure,Non-MATLAB figure generators wrapped or replaced before canonical promotion,no PNG-only publisher scripts remain sole authority,PENDING,INFRA-01B default MATLAB-first figures
canonical_lineage_documented,All provisional numeric chains,All,manuscript_evidence,reports/tables state upstream CSV paths,tables maintenance lineage joins INFRA_02 families,PENDING,this INFRA_02 lineage CSV is first-pass inventory only
manuscript_claim_blocked_until_parity,RLX-23 RLX-24 slow-tail chain,Relaxation,manuscript_evidence,Claims touching spectrum smoothing tails defer until parity,relevant READY gates remain NO until MATLAB parity recorded,PENDING,Align with RLX-24 report gates referencing RLX-23
