FILE,PRIOR_STATUS,FILE_TYPE,IN_BOUNDARY,FINAL_RESOLUTION,RESOLUTION_CONFIDENCE,GOVERNANCE_VALUE,RUNTIME_RISK_IF_REVERTED,REASON,EVIDENCE_BASIS
docs/repo_context_infra.md,MANUAL_REVIEW_REQUIRED,DOC,UNCERTAIN,DEFER_PRESERVE,MEDIUM,HIGH,LOW,"Repo context doc; alignment with current canonical policy not fully settled in boundary artifacts—preserve until docs consolidation; do not roll back blindly.","rollback_decision_table.csv; canonical_boundary_truth.csv (no runtime closure impact)."
docs/repo_context_minimal.md,MANUAL_REVIEW_REQUIRED,DOC,UNCERTAIN,DEFER_PRESERVE,MEDIUM,HIGH,LOW,"Minimal context doc; same ambiguity as repo_context_infra—preserve pending governance alignment.","rollback_decision_table.csv; controlled_rollback_plan.md."
docs/repo_map.md,MANUAL_REVIEW_REQUIRED,DOC,UNCERTAIN,DEFER_PRESERVE,MEDIUM,HIGH,LOW,"Navigation map; reverting without coordinated doc set risks inconsistent agent guidance—defer.","boundary_breach_inventory.csv; repo_execution_rules.md precedence context."
docs/templates/,MANUAL_REVIEW_REQUIRED,DOC,UNCERTAIN,DEFER_PRESERVE,LOW,MEDIUM,LOW,"Directory-level scope; contents not enumerated here—preserve until templates are audited as a set.","rollback_decision_table.csv."
Switching ver12/plots/plotSwitchingPanelF.m,MANUAL_REVIEW_REQUIRED,LEGACY,NO,REVERT,HIGH,NONE,LOW,"Not in 16-file canonical closure; legacy plot helper only—boundary-first rollback to committed baseline appropriate; low risk to run_switching_canonical.m path.","canonical_boundary_truth.csv; rollback_decision_table.csv."
Switching/analysis/analyze_phi_kappa_canonical_space.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure; noncanonical analysis—revert working tree to HEAD to align repo scope with boundary truth (science can live on branch).","canonical_boundary_truth.csv."
Switching/analysis/debug_fix_o2_pipeline.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure; noncanonical analysis—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/experimental/run_switching_physical_baseline_model.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure; experimental noncanonical script—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure; experimental noncanonical script—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_alpha_observable_search.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_alpha_physical_validity_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_kappa2_opening_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_kappa2_operational_signature_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
