AUDIT_SECTION,ROW_ID,FIELD,VALUE_OR_DETAIL
META,1,AUDIT_NAME,End_to_End_System_Closure_and_Backward_Consistency_Audit
META,2,RULES,"READ_ONLY; no code changes; no fixes; full-system reasoning per user prompt"
META,3,REFERENCES,"docs/repo_execution_rules.md; reports/canonical_switching_isolation_audit.md; reports/plan_realign_audit.md; reports/isolation_feasibility_audit.md; reports/execution_chain_audit.md; reports/phase3_system_reality_closure.md; reports/phase4_scope_lock.md; reports/system_freeze_status.md; docs/infrastructure_laws.md; docs/repo_consolidation_plan.md; docs/switching_canonical_definition.md; tables/module_canonical_status.csv; tables/module_enforcement_status.csv"
PHASE_TABLE,0,PHASE,"Phase 0 — System Freeze + Boundary"
PHASE_TABLE,0,DEFINITION_VALID,YES
PHASE_TABLE,0,SATISFIED_IN_REALITY,PARTIAL
PHASE_TABLE,0,REQUIRES_PATCH,YES
PHASE_TABLE,0,NOTES,"Freeze posture is documented (reports/system_freeze_status.md) and supports stable audits; Phase 4.5 isolation work shows boundaries were not fully closed at freeze time, so backward consistency requires additive boundary language (freeze valid as process control; not equivalent to isolation closure)."
PHASE_TABLE,1,PHASE,"Phase 1 — Canonical Definition (Switching)"
PHASE_TABLE,1,DEFINITION_VALID,YES
PHASE_TABLE,1,SATISFIED_IN_REALITY,PARTIAL
PHASE_TABLE,1,REQUIRES_PATCH,YES
PHASE_TABLE,1,NOTES,"docs/switching_canonical_definition.md and registry-backed entrypoint are coherent for the primary runner; canonical_switching_isolation_audit finds Entry B (analyze_phi_kappa_canonical_space) depends on repo tables/phi_kappa_stability_*.csv outside the two-entry graph, and module registry is not coextensive with the canonical subsystem (run_switching_canonical does not call assertModulesCanonical)."
PHASE_TABLE,2,PHASE,"Phase 2 — Execution System Validation"
PHASE_TABLE,2,DEFINITION_VALID,YES
PHASE_TABLE,2,SATISFIED_IN_REALITY,PARTIAL
PHASE_TABLE,2,REQUIRES_PATCH,YES
PHASE_TABLE,2,NOTES,"Wrapper single-call model and pre-guard align with docs/repo_execution_rules.md; execution_chain_audit sets EXECUTION_TRUSTED=NO due to manifest script_path/hash pointing to createRunContext.m not SSOT entrypoint, validator NOT_PASS, and identity linkage gap—validation does not fully close trust."
PHASE_TABLE,3,PHASE,"Phase 3 — System Reality Audit"
PHASE_TABLE,3,DEFINITION_VALID,YES
PHASE_TABLE,3,SATISFIED_IN_REALITY,YES
PHASE_TABLE,3,REQUIRES_PATCH,NO
PHASE_TABLE,3,NOTES,"phase3_system_reality_closure.md remains valid ground truth for what ran; non-canonical aspects were explicitly listed and fed Phase 4 scope lock—no revision needed to Phase 3 factual record (additive cross-links to Phase 4.5 optional)."
PHASE_TABLE,4,PHASE,"Phase 4 — Execution Trust Closure"
PHASE_TABLE,4,DEFINITION_VALID,YES
PHASE_TABLE,4,SATISFIED_IN_REALITY,PARTIAL
PHASE_TABLE,4,REQUIRES_PATCH,YES
PHASE_TABLE,4,NOTES,"User definition: deterministic execution, manifest/fingerprint correctness, no silent failure, run identity integrity, but NOT canonical isolation. Reality: signaling and artifacts exist on success path; execution_chain_audit documents manifest entry identity mismatch and validator drift FAIL—run identity integrity is not fully aligned with registered entry script; plan_realign_audit requires Phase 4 closure language disambiguation vs cross-module readiness."
PHASE_TABLE,4_5,PHASE,"Phase 4.5 — Canonical Isolation Alignment (ACTIVE)"
PHASE_TABLE,4_5,DEFINITION_VALID,YES
PHASE_TABLE,4_5,SATISFIED_IN_REALITY,NO
PHASE_TABLE,4_5,REQUIRES_PATCH,YES
PHASE_TABLE,4_5,NOTES,"canonical_switching_isolation_audit: CANONICAL_ISOLATION_VERIFIED=NO; isolation_feasibility_audit: POLICY_IMPLEMENTABLE=NO, SYSTEM_READY_FOR_ISOLATION_ENFORCEMENT=NO; assertModulesCanonical opt-in and non-coextensive with run_switching_canonical; module_enforcement_status CROSS_MODULE_PROTECTION_ACTIVE=YES creates false-safety vs runtime coverage."
TRUST_MODEL,1,CHAIN,"script → run → manifest → fingerprint → validation → drift → trust"
TRUST_MODEL,2,TRUST_MODEL_COMPLETE,NO
TRUST_MODEL,3,GAP_NO_CONTAMINATION,"Manifest fingerprint does not reliably identify the registered canonical entry script (execution_chain_audit); repo-level aggregate inputs on Entry B break strict data-isolation story; cross-module scientific coupling is not mechanically excluded repository-wide."
TRUST_MODEL,4,GAP_NO_CROSS_MODULE_LEAKAGE,"assertModulesCanonical is caller-list-dependent and not invoked on the registered canonical Switching entrypoint; no authoritative modules_used mapping; Relaxation/Aging data not loaded on Entry A graph but Entry B and other surfaces remain out of band; CROSS_MODULE_PROTECTION_ACTIVE=YES overstates mechanical enforcement (isolation_feasibility_audit)."
ISOLATION_GAP,1,GAP,"Primary canonical Switching entry (run_switching_canonical.m) does not call assertModulesCanonical; module registry not on execution path for SSOT runner."
ISOLATION_GAP,1,SOURCE,canonical_switching_isolation_audit;isolation_feasibility_audit
ISOLATION_GAP,2,GAP,"Module canonical status does not flow into execution_status.csv or run_manifest; SUCCESS does not prove a module gate ran."
ISOLATION_GAP,2,SOURCE,canonical_switching_isolation_audit;isolation_feasibility_audit
ISOLATION_GAP,3,GAP,"Entry B reads repo-level phi_kappa_stability_*.csv aggregates whose provenance is outside the canonical two-entry graph—expected strict isolation vs shared aggregate inputs."
ISOLATION_GAP,3,SOURCE,canonical_switching_isolation_audit
ISOLATION_GAP,4,GAP,"Cross-module policy is not implementable as a repo-wide invariant with caller-supplied module lists only; omission and mis-declaration undetectable."
ISOLATION_GAP,4,SOURCE,isolation_feasibility_audit
ISOLATION_GAP,5,GAP,"Registry reliability NO: hand-maintained CSV; drift from code reality; only three MODULE rows; not read by canonical entrypoint."
ISOLATION_GAP,5,SOURCE,isolation_feasibility_audit
ISOLATION_GAP,6,GAP,"Master plan (docs/repo_consolidation_plan.md) does not encode module_canonical_status participation gate or assert policy—plan narrative vs isolation axis misaligned."
ISOLATION_GAP,6,SOURCE,plan_realign_audit
ISOLATION_GAP,7,GAP,"Enforcement coverage insufficient: single non-utility callsite for assertModulesCanonical; tools/load_observables and bulk Switching/analysis scripts ungated."
