target,model_name,model_family,predictors,n,num_parameters,train_R2,LOOCV_RMSE,LOOCV_RMSE_relative_to_best_T_baseline,Pearson_pred_obs,Spearman_pred_obs,kind,small_n_caveat,notes
A_obs_canon,T_linear,T_polynomial,"1,T",15,2,0.9369984752204464,0.000002251931970094663,1,0.9679868156232535,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_obs_canon,T_quadratic,T_polynomial,"1,T,T^2",15,3,0.9486727631541538,0.000002480473583586159,1.1014869083642385,0.973998338373405,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_obs_canon,T_log,T_log,"1,log(T)",15,2,0.7648624671018471,0.0000047753628675090525,2.1205626683777283,0.8745641583679536,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_obs_canon,T_inverse,T_inverse,"1,1/T",15,2,0.4665092522895278,0.000008477045207195008,3.7643433814915217,0.6830148258197093,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_obs_canon,T_hinge_23K,T_hinge,"1,T,max(0,T-23)",15,3,0.936998699868381,0.0000025481880110426547,1.1315563901939447,0.9679869316619834,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_obs_canon,T_hinge_25K,T_hinge,"1,T,max(0,T-25)",15,3,0.9381113100053254,0.0000024894328112523904,1.1054653712064597,0.9685614642372086,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_obs_canon,coord_Xeff_chosen_linear,switching_coordinate,"1,Xeff_chosen",15,2,0.9458065886958145,0.0000020605527122744618,0.9150155242868389,0.972525880733163,0.9624344559112809,coordinate,YES_n15_LOOCV_HIGH_VARIANCE,Linear coordinate alone vs A in original space
A_obs_canon,coord_invD_chosen_linear,switching_coordinate,"1,invD_chosen",15,2,0.9609226846895852,0.0000017395485583206735,0.7724694091214263,0.9802666395882221,0.9839013954483354,coordinate,YES_n15_LOOCV_HIGH_VARIANCE,Linear coordinate alone vs A in original space
A_svd_full_oriented_candidate,T_linear,T_polynomial,"1,T",15,2,0.9361960786014012,0.00003878225833562368,1,0.9675722601446373,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_svd_full_oriented_candidate,T_quadratic,T_polynomial,"1,T,T^2",15,3,0.9476296889422811,0.000043121737441943525,1.1118934093204622,0.9734627311521898,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_svd_full_oriented_candidate,T_log,T_log,"1,log(T)",15,2,0.7649811598643819,0.00008140050638519188,2.0989109422341437,0.8746320139718086,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_svd_full_oriented_candidate,T_inverse,T_inverse,"1,1/T",15,2,0.4676068993738737,0.00014425405649738825,3.7195888709988507,0.6838178846548792,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_svd_full_oriented_candidate,T_hinge_23K,T_hinge,"1,T,max(0,T-23)",15,3,0.936196616631155,0.00004429898486347968,1.1422487179605159,0.9675725381753841,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_svd_full_oriented_candidate,T_hinge_25K,T_hinge,"1,T,max(0,T-25)",15,3,0.9374065646202909,0.000043393562524371786,1.1189024153478024,0.9681975855269889,0.975,T_baseline,YES_n15_LOOCV_HIGH_VARIANCE,T baseline family member
A_svd_full_oriented_candidate,coord_Xeff_chosen_linear,switching_coordinate,"1,Xeff_chosen",15,2,0.9453599505012459,0.000035341953193564883,0.9112917790324065,0.9722962256952588,0.9624344559112809,coordinate,YES_n15_LOOCV_HIGH_VARIANCE,Linear coordinate alone vs A in original space
A_svd_full_oriented_candidate,coord_invD_chosen_linear,switching_coordinate,"1,invD_chosen",15,2,0.9612126745243271,0.000029716539124055252,0.7662405542989987,0.980414542183217,0.9839013954483354,coordinate,YES_n15_LOOCV_HIGH_VARIANCE,Linear coordinate alone vs A in original space
