table_name,column_name,type,unit,definition,source,required
mt_points_raw.csv,file_id,int,1,File identity from canonical file inventory,raw,YES
mt_points_raw.csv,row_index,int,1,1-based row index within imported file,raw,YES
mt_points_raw.csv,T_K,numeric,K,Raw sample temperature,raw,YES
mt_points_raw.csv,H_Oe,numeric,Oe,Raw magnetic field,raw,YES
mt_points_raw.csv,time_s,numeric,s,Imported time channel in seconds not assumed elapsed,raw,YES
mt_points_raw.csv,M_emu,numeric,emu,Raw magnetic moment,raw,YES
mt_points_raw.csv,sample_mass_g,numeric,g,Effective sample mass used for normalization if known,raw,NO
mt_points_raw.csv,import_status,string,1,Per-row import status code,raw,YES
mt_points_raw.csv,time_quality,string,1,Time-axis quality classification inherited from diagnostics,raw,YES
mt_points_raw.csv,time_warning_class,string,1,Time-axis warning classification,raw,YES
mt_points_clean.csv,file_id,int,1,File identity copied from raw,raw,YES
mt_points_clean.csv,row_index,int,1,Row identity copied from raw without recomputation,raw,YES
mt_points_clean.csv,T_K,numeric,K,Temperature carried from raw identity row,raw,YES
mt_points_clean.csv,H_Oe,numeric,Oe,Field carried from raw identity row,raw,YES
mt_points_clean.csv,time_s,numeric,s,Imported time channel carried from raw identity row,raw,YES
mt_points_clean.csv,M_emu_raw,numeric,emu,Original raw magnetic moment for traceability,raw,YES
mt_points_clean.csv,M_emu_clean,numeric,emu,Structural cleaned magnetic moment after deterministic cleaning transform,clean,YES
mt_points_clean.csv,M_emu_smooth,numeric,emu,Optional smoothed analysis or diagnostic channel from clean path,clean,YES
mt_points_clean.csv,cleaning_branch,string,1,Policy branch selected for this row or file,clean,YES
mt_points_clean.csv,cleaning_reason_code,string,1,Explicit reason code describing cleaning path,clean,YES
mt_points_clean.csv,points_changed_flag,int,1,1 if clean value structurally differs from raw else 0,clean,YES
mt_points_clean.csv,raw_clean_abs_delta,numeric,emu,Absolute delta between raw and clean channels per row,clean,YES
mt_points_clean.csv,raw_smooth_abs_delta,numeric,emu,Absolute delta between raw and smooth channels per row,clean,YES
mt_points_clean.csv,cleaning_effect_class,string,1,Per-row or inherited effect severity class,clean,YES
mt_points_clean.csv,cleaning_warning_class,string,1,Per-row or inherited warning class,clean,YES
mt_points_clean.csv,cleaning_trust,string,1,Per-row or inherited trust level class,clean,YES
mt_points_clean.csv,segment_id,int,1,Deterministic segment identifier annotation within file,derived_annotation,NO
mt_points_clean.csv,segment_type,string,1,Segment class annotation increasing/decreasing/zfc/fcc/fcw/unknown,derived_annotation,NO
mt_points_clean.csv,segment_source,string,1,Segment annotation source algorithm/metadata/hybrid not cleaning logic,derived_annotation,YES
mt_points_derived.csv,file_id,int,1,File identity copied from clean,clean,YES
