topic,source_doc,precedence_rank,canonical_rule,practical_prompt_implication,risk_if_ignored
documentation_precedence,docs/AGENT_RULES.md,1,"Apply precedence ladder exactly; AGENT_RULES first, then infra/system plan specializations, then results/run/structure/artifacts, then prompt-exclude list","State precedence explicitly in non-trivial prompts","Conflicting instructions selected from lower-priority docs"
infrastructure_architecture,docs/infrastructure_laws.md,1a,"Single canonical run root, single manifest system, single fingerprint story, wrapper entrypoint, no parallel infra systems","For infra tasks, cite this doc as tie-breaker for run roots/manifests/entrypoints","Parallel or duplicate infrastructure patterns"
lifecycle_trust_domains,docs/system_master_plan.md,1b,"Execution trust != system trust != isolation trust; cross-module law is normative; phase gates control closure claims","Avoid broad closure language in prompts; specify trust domain","False safety / false closure claims"
run_outputs_root,docs/results_system.md,2,"Write outputs under results/<experiment>/runs/run_<timestamp>_<label>/","Require run-scoped outputs and prohibit module/root sinks for generated run artifacts","Scattered outputs and non-reproducible runs"
run_identity_contract,docs/run_system.md,3,"run_manifest.json at run root, fixed execution_status.csv schema, run_dir-only identity, no root pointer","Prompt should demand run-root manifest + execution status and schema consistency","Run validity ambiguity"
repository_layout,docs/repository_structure.md,4,"Current vs target structure differ; do not auto-migrate; versioned folders not auto-legacy","Prompt should name exact current paths and avoid structural refactor unless requested","Accidental broad reorganization"
artifact_subfolders,docs/output_artifacts.md,5,"Use figures/tables/reports/review only; observables.csv stays at run root","Prompt should include artifact directory rules and observables exception","Inconsistent artifact layouts"
prompt_exclusions,docs/agent_prompt_exclude.md,6,"Do not bulk-load excluded docs unless task explicitly names them","Prompt should include minimal doc set and exclusion reminder","Token bloat and stale-context drift"
entrypoint_routing,docs/system_entrypoint.md,context,"Contracts are authoritative; reports are evidence/history only","Prompt should separate normative contracts from reports","Reports treated as source of truth"
io_validation_boundary,docs/io_validation_contract.md,supporting,"Validation -> IO -> Pipeline; no enforcement inside IO layer","When data-loading behavior matters, prompt should preserve layer separation","I/O layer absorbs pipeline semantics"
switching_pipeline_boundary,docs/canonical_switching_system.md,supporting,"Single canonical pipeline with channel-aware behavior and S_canonical boundary rules","Switching prompts should pin canonical pipeline and forbid local-only downstream identity","Channel/representation confusion"
switching_direction_lock,docs/switching_canonical_direction.md,supporting,"Single-pipeline interpretation locked; multi-pipeline rejected in current scope","Prompt should avoid framing channels as separate canonical pipelines","Architectural misclassification"
deprecated_switching_doc,docs/switching_canonical_definition.md,supporting,"File marked DEPRECATED and not canonical authority","Prompt should avoid using this doc as primary source","Outdated canonical claims"
switching_reality_bridge,docs/switching_canonical_reality.md,supporting,"Repository-fact survey plus append-only updates; historical context retained","Use carefully as factual/historical context, not sole normative source","Mixing historical flags with current canonical authority"
minimal_prompt_bootstrap,docs/repo_context_minimal.md,supporting,"Read minimal context first; wrapper and output boundaries; avoid excluded docs","Prompt should reference minimal context for infra/execution tasks","Overloaded prompts and inconsistent guardrails"
infra_context_bundle,docs/repo_context_infra.md,supporting,"Synthesizes docs with implementation and highlights known tensions","Use as secondary synthesis, not precedence override","Treating synthesis as authoritative contract"
status_schema,docs/execution_status_schema.md,supporting,"execution_status.csv has exact 5-column canonical schema","Prompt should require schema/order explicitly when run outputs are checked","Status parser/runtime mismatch"
template_run,docs/templates/run_template.md,supporting,"Run prompt should include run_dir, execution status outcome, failure class reporting","Use as concise run-task scaffolding","Missing reporting fields"
template_audit,docs/templates/audit_template.md,supporting,"Audit prompts should limit scope to run artifacts and log soft issues","Use for read-only or audit-style runs","Overreaching scope"
template_fix,docs/templates/fix_template.md,supporting,"Fix prompts should keep scope tight and log verification","Use for constrained infra/doc fixes","Unbounded edits"
template_plan,docs/templates/plan_template.md,supporting,"Plan prompts should include objective/files/parallelism/observability","Use for multi-step tasks where planning clarity matters","Execution without shared assumptions"
registry_authority,docs/system_registry.json,authoritative_data,"Registry is authoritative for module classification and active structure","Prompt should align module naming/scope to registry","Module scope mismatch in outputs or claims"
