key,value
PHASE4B_C02_REVIEW_COMPLETE,YES
PHASE4B_C02_SAFE_TO_COMMIT,YES
SOURCE_IS_CORRECTED_OLD_AUTHORITY,YES
SOURCE_NOT_CANONICAL_DIAGNOSTIC,YES
NO_SWITCHING_CANONICAL_S_LONG_USED,YES
NO_PTCDF_DIAGNOSTIC_PROMOTED,YES
NO_SILENT_FAMILY_MIXING,YES
NO_FORBIDDEN_CANON_NAMES,YES
RANGE_LOCK_DISPLAY_ONLY,YES
FIGURE_QA_ONLY,YES
PNG_AND_FIG_EXIST,YES
SAFE_TO_INTERPRET_PHYSICS_NO_VERIFIED,YES
SAFE_TO_PROCEED_NEXT_SLICE_VERIFIED,YES
NO_BROAD_REPLAY_RUN,YES
NO_RENAME_EXECUTED,YES
NO_RELAXATION_AGING_COMPARISON,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
