T_K,R,spread90_50,kappa1,alpha,abs_alpha_res,aging_residual_loocv_baseline,in_transition_window_20_26
6,9.55842193548671,10.4147583748364,0.190781377067108,-0.322826383381165,0.250004865620464,2.80763386941585,0
8,5.10324271265972,10.3972726204107,0.19690765457114,-0.252873820606648,0.320296435829951,-3.0198772681144,0
10,2.28094749153087,10.5657782713878,0.17710703759542,-0.142556918673,0.712487105029701,-2.78789930021664,0
12,0.800786706765585,10.5066975999028,0.15269503326033,0.315507089215186,0.0140320891101201,-1.35931996500583,0
14,0.372010793029286,10.6588524255781,0.12447122604336,0.480464779904895,0.183127832882655,1.2132078266459,0
16,0.703870184987391,10.5972134710251,0.107134927362003,0.706471460120773,0.344779493014267,2.5859395445397,0
18,1.50561531730532,10.5323657232522,0.0980185873442758,0.856656351459244,0.169705144080602,4.00486068174864,0
20,3.19806276575443,10.2574988028397,0.0898318457622685,0.507430636294838,0.741530506542153,-2.82164685375689,1
22,7.00173291822134,8.3351306980324,0.0382966167716672,2.71697214858441,0.943606441288392,-10.0003524210196,1
24,35.1894881379254,7.0000670702152,0.0699734936967039,2.32146130117818,0.109159592680226,9.33388172550411,1
26,91.9735525900868,3.5,0.0640590044738315,0.216654507664813,0.200608860937995,-17.066050049913,1
