category,item_path,producer_or_owner,current_role,risk,severity,recommended_status,next_action
canonical_anchor,results/switching/runs/run_2026_04_03_000147_switching_canonical/,docs/switching_layer_boundary.md + analysis/knowledge/run_registry.csv,Canonical Switching run-root data anchor,Anchor is clear but not consistently used by downstream resolver paths,HIGH,AUTHORITATIVE,Keep as single authoritative run-data source and require explicit provenance when copied.
canonical_anchor,Switching/analysis/run_switching_canonical.m,tables/switching_canonical_entrypoint.csv,Sole canonical execution entrypoint,Low direct ambiguity; downstream mirror/consumer surfaces still create confusion,MEDIUM,AUTHORITATIVE,Retain as only canonical entrypoint and keep owner messaging explicit in boundary docs.
root_mirror,tables/switching_canonical_collapse_hierarchy_error_vs_T.csv,Switching/analysis/run_switching_canonical_collapse_hierarchy.m (via switchingWriteTableBothPaths),Repo-root mirror of run table under results/.../tables,Root table can be misread as canonical-current data,HIGH,REFERENCE_MIRROR,Label as compatibility/reference mirror and direct consumers to run-root authoritative copy.
root_mirror,tables/switching_canonical_collapse_hierarchy_status.csv,Switching/analysis/run_switching_canonical_collapse_hierarchy.m (direct + helper writes),Repo-root status mirror for canonical-adjacent workflow,Mirror status file appears canonical-current outside run scope,HIGH,REFERENCE_MIRROR,Add explicit reference-only language in producer report/status text and owner docs.
root_mirror,tables/switching_canonical_input_gate_status.csv,"Switching/analysis/run_switching_canonical_collapse_hierarchy.m, run_switching_collapse_breakdown_analysis.m (+ helper writes)",Repo-root gate-status mirror shared by many consumers,Shared gate mirror amplifies source-of-truth ambiguity,HIGH,REFERENCE_MIRROR,Keep mirror for compatibility only and require consumer labeling as cross-reference not canonical truth.
root_mirror,tables/switching_canonical_reconstruction_visualization_summary.csv,Switching/analysis/run_switching_canonical_reconstruction_visualization.m (via switchingWriteTableBothPaths),Repo-root summary mirror for visualization consumer,Summary mirror can appear like canonical data product,MEDIUM,REFERENCE_MIRROR,Mark summary as advisory/reference and point to run-scoped summary first.
identity_route,Switching/utils/switchingResolveLatestCanonicalTable.m,Switching utils,Resolver selects newest matching run artifact by mtime,Conflicts with locked canonical run identity anchor policy,HIGH,ADVISORY,Owner decision required: prefer explicit identity anchor route before any newest-by-mtime fallback.
identity_route,tables/switching_canonical_identity.csv,tables governance artifact + tools/load_run.m,Identity registry table containing CANONICAL_RUN_ID,Control board warns missing/downgraded while file currently exists creating governance contradiction,HIGH,UNKNOWN,Run owner reconciliation: verify authoritative status and refresh control-board wording to remove contradictory missing state.
identity_route,analysis/knowledge/run_registry.csv,run registry owner,Contains canonical_identity_anchor row for run_2026_04_03_000147_switching_canonical,Registry is discovery metadata not complete filesystem authority,MEDIUM,ADVISORY,Use as supporting anchor evidence only; do not let registry override boundary identity policy.
legacy_fallback,Switching/analysis/switching_alignment_audit.m::resolveOutputDir,Switching analysis,Legacy flat fallback to results/switching/alignment_audit when helper unavailable,Allows non-run-root output placement for switching artifacts,HIGH,DEPRECATED,Defer code edit until owner decision; then remove flat fallback in a single bounded patch.
consumer,Switching/analysis/run_switching_backbone_validity_audit.m,Switching analysis consumer,Reads repo-root switching_canonical_input_gate_status and hierarchy tables as inputs,Consumer path treats root mirrors as operational inputs,HIGH,ACTION_NOW,Owner decision audit should classify these inputs as reference-only and define run-root-first consumption policy.
consumer,Switching/analysis/run_switching_canonical_transition_highT_diagnostics.m,Switching analysis consumer,Reads repo-root canonical hierarchy/gate status and writes mirrored outputs,Compounds mirror dependency chain across canonical-adjacent analyses,HIGH,ACTION_NOW,Gate new canonical-adjacent additions on explicit source-of-truth route choice.
consumer,Switching/analysis/run_switching_mode_admissibility_audit.m,Switching analysis consumer,Uses switchingResolveLatestCanonicalTable and repo-root status dependencies,Combines mtime identity route with root-mirror consumption,HIGH,ACTION_NOW,Block further route proliferation until identity locator is owner-selected and documented.
legacy_fallback,Switching/analysis/switching_mechanism_followup.m + switching_mode23_analysis.m + switching_shape_rank_analysis.m,Switching analysis legacy reports,References results/switching/alignment_audit and results/switching/mechanism_survey flat legacy outputs,Legacy paths may be interpreted as active canonical inputs,MEDIUM,LEGACY,Keep as legacy evidence context only and add explicit non-canonical reference note in next documentation pass.
