"combo_id","I0_candidate","W_candidate","S0_candidate","is_baseline","primary_metric_mean_std","low_primary_metric_mean_std","high_primary_metric_mean_std","T22_specific_defect","leave22k_out_delta","primary_common_x_min","primary_common_x_max","primary_valid_curves","low_primary_valid_curves","high_primary_valid_curves","diag_32_34_metric_mean_std","I0_roughness_mean_abs_step","W_roughness_mean_abs_step","S0_roughness_mean_abs_step","delta_low_vs_baseline","delta_high_vs_baseline","high_improvement_with_low_cost"
"G001","I_peak_old","W_FWHM_crossing","S_peak_old","YES","0.131083282608401","0.130613490386889","0.115110697816942","0.151504177039419","-0.00312498267054814","-1.08548729382516","0.814115470368867","14","8","6","NaN","1.78571428571429","1.62110158957085","0.0281667962705674","0","0","NO"
"G002","I_peak_old","W_FWHM_crossing","S_peak_quadratic","NO","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NO"
"G003","I_peak_old","W_FWHM_crossing","S_top2_mean","NO","0.185718765742469","0.179847884545463","0.166115482198153","0.182603124890435","-0.000752865951243881","-1.08548729382516","0.814115470368867","14","8","6","NaN","1.78571428571429","1.62110158957085","0.0221758064365963","0.0492343941585744","0.0510047843812111","NO"
"G004","I_peak_old","W_FWHM_crossing","S_top3_mean","NO","0.231890850048409","0.241325140883953","0.191905613723478","0.207810091528419","0.00149043098555618","-1.08548729382516","0.814115470368867","14","8","6","NaN","1.78571428571429","1.62110158957085","0.0206326686722723","0.110711650497064","0.0767949159065357","NO"
"G005","I_peak_old","W_FWHM_crossing","S_percentile_95","NO","12.6315241264923","10.4073053443754","3.02482680209343","14.7004447002768","-0.167064410093223","-1.08548729382516","0.814115470368867","14","8","6","NaN","1.78571428571429","1.62110158957085","0.00360765916645248","10.2766918539885","2.90971610427649","NO"
"G006","I_peak_old","W_FWHM_crossing","S_area_positive","NO","0.0654723617150496","0.0637399219885966","0.0555497300047689","0.0549736444582289","0.000750317496606409","-1.08548729382516","0.814115470368867","14","8","6","NaN","1.78571428571429","1.62110158957085","0.0807547394824577","-0.0668735683982923","-0.0595609678121732","YES"
"G007","I_peak_old","W_FWHM_crossing","S_area_core","NO","0.158260688685582","0.131426969043083","0.156798812523809","0.123641385375447","0.00241709407373078","-1.08548729382516","0.814115470368867","14","8","6","NaN","1.78571428571429","1.62110158957085","0.0635155141189884","0.000813478656194216","0.0416881147068664","NO"
"G008","I_peak_old","W_FWHM_crossing","S_smoothed_peak_across_T","NO","0.137871004317985","0.130363789772021","0.122663608921502","0.148549022607671","-0.00262185410094365","-1.08548729382516","0.814115470368867","14","8","6","NaN","1.78571428571429","1.62110158957085","0.0221758619540487","-0.000249700614868176","0.00755291110455952","NO"
"G009","I_peak_old","W_sigma_positive","S_peak_old","NO","0.0903945492577967","0.0461226268045856","0.105151425210681","0.156577161376466","-0.00691737075692109","-0.869139184243007","1.8071648327254","14","8","6","0.63107066630687","2.33333333333333","0.478225275639016","0.0262890098525296","-0.0844908635823033","-0.00995927260626063","YES"
"G010","I_peak_old","W_sigma_positive","S_peak_quadratic","NO","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NO"
"G011","I_peak_old","W_sigma_positive","S_top2_mean","NO","0.102805091890736","0.0454591580131073","0.118918613413496","0.161557859370548","-0.0102120552087205","-0.869139184243007","1.8071648327254","14","8","6","0.86502639675105","2.33333333333333","0.478225275639016","0.0206974193408232","-0.0851543323737815","0.00380791559655434","NO"
"G012","I_peak_old","W_sigma_positive","S_top3_mean","NO","0.114106886828096","0.0567578647195341","0.134678864884834","0.185061760428236","-0.00894555688115277","-0.869139184243007","1.8071648327254","14","8","6","2.26205744721614","2.33333333333333","0.478225275639016","0.0192571574274541","-0.0738556256673547","0.0195681670678915","NO"
"G013","I_peak_old","W_sigma_positive","S_percentile_95","NO","14.9257923780172","8.82931609402151","2.69400168894117","15.7299270449695","-0.0822398039490135","-0.869139184243007","1.8071648327254","14","8","6","5.66201129537056","2.33333333333333","0.478225275639016","0.00336714855535564","8.69870260363462","2.57889099112423","NO"
"G014","I_peak_old","W_sigma_positive","S_area_positive","NO","0.0309687712751601","0.0150886899477928","0.0379265317176824","0.0492011324422373","-0.00215076936325391","-0.869139184243007","1.8071648327254","14","8","6","0.424666993126091","2.33333333333333","0.478225275639016","0.0753710901836272","-0.115524800439096","-0.0771841660992597","YES"
"G015","I_peak_old","W_sigma_positive","S_area_core","NO","0.0842056466091692","0.0429520217883761","0.107494709649454","0.100078983548586","-0.000524710870178205","-0.869139184243007","1.8071648327254","14","8","6","NaN","1.78571428571429","0.454164922922247","0.0635155141189884","-0.0876614685985128","-0.00761598816748824","YES"
"G016","I_peak_old","W_sigma_positive","S_smoothed_peak_across_T","NO","0.0930610066500837","0.0511897726584157","0.097440294869712","0.134419991006289","-0.00754682243468727","-0.869139184243007","1.8071648327254","14","8","6","0.15849619766889","2.33333333333333","0.478225275639016","0.0206974711571122","-0.0794237177284732","-0.0176704029472301","YES"
"G017","I_peak_old","W_area_20_80","S_peak_old","NO","0.104845648565186","0.0496919377599325","0.147160093765119","0.207561509693308","-0.010540872176846","-0.5","1","14","8","6","0.766431422556349","2.33333333333333","2","0.0262890098525296","-0.0809215526269563","0.0320493959481767","NO"
"G018","I_peak_old","W_area_20_80","S_peak_quadratic","NO","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NO"
"G019","I_peak_old","W_area_20_80","S_top2_mean","NO","0.10693146985598","0.0467224415580558","0.151689133711891","0.17852717333329","-0.00833574036609883","-0.5","1","14","8","6","1.06671006004531","2.33333333333333","2","0.0206974193408232","-0.083891048828833","0.0365784358949492","NO"
"G020","I_peak_old","W_area_20_80","S_top3_mean","NO","0.136389900937497","0.0517764958829935","0.194144682520334","0.214467193132969","-0.00819843372539086","-0.5","1","14","8","6","2.55346927946407","2.33333333333333","2","0.0192571574274541","-0.0788369945038953","0.079033984703392","NO"
"G021","I_peak_old","W_area_20_80","S_percentile_95","NO","14.3000020483682","8.82433343018733","3.11926115389311","15.2634559037697","-0.0816420696724691","-0.5","1","14","8","6","9.88986089217008","2.33333333333333","2","0.00336714855535564","8.69371993980044","3.00415045607617","NO"
"G022","I_peak_old","W_area_20_80","S_area_positive","NO","0.0381248950907321","0.0135885794072107","0.0490792965189635","0.0580088822870932","-0.00224855754594648","-0.5","1","14","8","6","0.518076704126367","2.33333333333333","2","0.0753710901836272","-0.117024910979678","-0.0660314012979786","YES"
"G023","I_peak_old","W_area_20_80","S_area_core","NO","0.0936480449451065","0.0371483497265809","0.104492940844153","0.0944726564968848","0.000159698448940648","-0.5","1","14","8","6","NaN","1.78571428571429","2.14285714285714","0.0635155141189884","-0.0934651406603079","-0.0106177569727888","YES"
"G024","I_peak_old","W_area_20_80","S_smoothed_peak_across_T","NO","0.102564208334641","0.0549373654941376","0.137773546342089","0.149700639376837","-0.00533908538107117","-0.5","1","14","8","6","0.294067494834304","2.33333333333333","2","0.0206974711571122","-0.0756761248927512","0.0226628485251467","NO"
"G025","I_peak_old","W_area_10_90","S_peak_old","NO","0.0845143213194808","0.0509984165775881","0.11995989688179","0.161921487839904","-0.00875888419776526","-0.333333333333333","0.6","14","8","6","0.766431422556349","2.33333333333333","2","0.0262890098525296","-0.0796150738093007","0.00484919906484808","NO"
"G026","I_peak_old","W_area_10_90","S_peak_quadratic","NO","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NO"
"G027","I_peak_old","W_area_10_90","S_top2_mean","NO","0.103739976352276","0.0568720423170811","0.149711515410727","0.168804748576698","-0.00936793426736067","-0.333333333333333","0.6","14","8","6","1.06671006004531","2.33333333333333","2","0.0206974193408232","-0.0737414480698077","0.0346008175937852","NO"
