key,value
P0_TRACKING_ARCHIVAL_DECISION_AUDIT_COMPLETE,YES
SWITCHING_ONLY,YES
READ_ONLY_AUDIT,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PHYSICS_LOGIC_CHANGED,YES
IMPORTANT_IGNORED_ARTIFACTS_FOUND,YES
AUTHORITATIVE_BUILDER_UNTRACKED,YES
AUTHORITATIVE_WRAPPERS_UNTRACKED,YES
AUTHORITATIVE_CSV_BUNDLE_UNTRACKED,YES
FULL_AUDIT_OUTPUTS_UNTRACKED,YES
FORCE_ADD_REQUIRED,YES
FORCE_ADD_PLAN_CREATED,YES
ONLY_EXPLICIT_FILES_RECOMMENDED,YES
BROAD_FORCE_ADD_USED,NO
NON_SWITCHING_FILES_INCLUDED_IN_FORCE_ADD_PLAN,NO
NON_SWITCHING_FILES_RECOMMENDED_FOR_COMMIT,NO
SAFE_TO_FORCE_ADD_RECOMMENDED_FILES,YES
SAFE_TO_COMMIT_SWITCHING_ONLY,PARTIAL
BLOCKING_RISKS_REMAIN_AFTER_TRACKING_PLAN,PARTIAL
AUDIT_DATE_UTC,2026-04-29
AUDIT_HEAD_COMMIT,72215df
TRACK_REQUIRED_PATHS_ENUMERATED,50
OPTIONAL_AND_REVIEW_PATHS_ENUMERATED,4
ALREADY_TRACKED_REFERENCE_ROWS,2
