"run_id","module","snapshot_has_entry","snapshot_linkage_present","coverage_status","notes"
"run_2026_03_09_014130_MG119_3sec","aging","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_124648_geometry_visualization","aging","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_130918_geometry_visualization","aging","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_132236_switching_alignment_audit","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_140848_geometry_visualization","aging","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_141041_switching_alignment_audit","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_141328_geometry_visualization","aging","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_145524_switching_alignment_audit","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_205312_derivative_smoothing","relaxation","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_205525_helper_adoption","repository_audit","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_212439_repository_compliance_audit","repository_audit","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_213137_repository_duplication_survey","repository_audit","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_221205_switching_helper_refactor","repository_audit","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_222702_alignment_audit","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_223621_mechanism_survey","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_224017_mechanism_followup","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_224359_mode23_analysis","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_224738_observable_basis_test","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_225131_second_coordinate_duel","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
"run_2026_03_09_225513_second_observable_search","switching","0","FALSE","MISSING","No truthy snapshot_has_entry and no non-empty other snapshot_* fields."
