status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
NEW_MODELS_RUN,NO
FIGURES_CREATED,NO
FIGURES_MODIFIED,NO
USED_AX17B,YES
USED_XEFF_WIDTH_AUDIT_18,YES
USED_AX18B,YES
USED_AX18C,YES
USED_AX18D,YES
USED_AX19A,YES
FINAL_RELATIONSHIP_CLASSIFICATION,EMPIRICAL_INVD_POWERLIKE_SCALING
XEFF_FINAL_ROLE,DIMENSIONLESS_COMPOSITE_COORDINATE_NOT_PRIMARY_EMPIRICAL_PREDICTOR
INVD_FINAL_ROLE,DENOMINATOR_AREA_SCALE_PROXY_AND_BEST_TESTED_EMPIRICAL_SCALING_ORGANIZER
POWERLAW_ALPHA_AOBS,0.562460847
POWERLAW_ALPHA_ASVD,0.558279495
PHYSICAL_SCALING_LAW_ESTABLISHED,NO
INVD_BEST_TESTED_EMPIRICAL_SCALING_ORGANIZER,YES
INVD_NONTRIVIAL_BEYOND_TESTED_T_PROXIES,YES
XEFF_RETAINED_AS_DIMENSIONLESS_COORDINATE,YES
INVD_REPLACES_XEFF,NO
SAFE_TO_CLAIM_EMPIRICAL_INVD_POWERLIKE_SCALING,YES_WITH_SMALL_N_AND_COLLINEARITY_CAVEATS
SAFE_TO_CLAIM_PHYSICAL_POWER_LAW,NO
SAFE_TO_CLAIM_MECHANISM,NO
SAFE_FOR_MANUSCRIPT_DISCUSSION,YES_WITH_BOUNDED_WORDING
SAFE_TO_COMMIT_SYNTHESIS_PACKAGE,YES
