area,issue,severity,affects_execution,affects_efficiency,affects_parallelism,recommended_action
execution_stability,run_matlab_safe.bat uses matlab -batch run('script') but docs (AGENT_RULES.md repo_execution_rules.md) still describe eval(fileread(...)) as the mechanism,high,YES,YES,NO,Align normative docs with implemented wrapper; add one-line implementation note in wrapper header comment to reduce agent confusion
execution_stability,Preflight validate_matlab_runnable.ps1 is documented as part of the pipeline (repo_context_infra AGENT_RULES run_system expectations) but is not invoked by the current batch wrapper,high,YES,YES,NO,Non-blocking: document actual optional pre-run step; or wire validator as soft-check script; avoid claiming enforcement where absent
execution_stability,run_switching_canonical.m does not write repo-root run_dir_pointer.txt required by docs/run_system.md section 6 (wrapper discovery contract),high,YES,YES,YES,Add pointer write after run_dir known (pattern in run_minimal_canonical.m); keep parallel-safe naming strategy in design package
execution_stability,execution_status.csv schema differs: docs/run_system.md mandates EXECUTION_STATUS INPUT_FOUND ERROR_MESSAGE N_T MAIN_RESULT_SUMMARY; run_switching_canonical uses EXECUTION_STARTED WRITE_SUCCESS ERROR,high,YES,YES,YES,Declare single canonical schema for Switching infra; map or migrate columns; soft-warning in audits until unified
execution_stability,Failure path in run_switching_canonical catch may write execution_status.csv under repoRoot when no run context exists (run_dir empty), violating run_system all-outputs-in-run_dir rule,high,YES,NO,YES,Design minimal failure sink: dedicated run_id failure folder or mandatory createRunContext before any work
execution_stability,Early probe writes hardcoded C:/Dev/matlab-functions/execution_probe_top.txt before run_dir exists; non-portable and ambiguous for traceability,medium,YES,NO,YES,Remove hardcoded path; write first probe only under run_dir after mkdir or use dynamic repoRoot only
execution_stability,Batch creates tools/temp_runner.m with pause(1) but MATLAB_COMMAND runs the user script not the runner file (dead path),low,NO,YES,NO,Delete unused runner generation or document as reserved for future
agent_guidance,AGENT_ENTRYPOINT.md is extremely short while repo_execution_rules embeds a long duplicated MATLAB policy block,medium,NO,YES,NO,Split: keep AGENT_ENTRYPOINT as 10-line pointer; trim duplicate policy from secondary docs with links
agent_guidance,context_bundle.json mixes scientific claims with infra routing; agents may treat it as execution truth,medium,NO,YES,NO,Mark infra vs science sections in bundle or add docs/repo_context_minimal.md as execution-only anchor
agent_guidance,Multiple overlapping audits in reports/ and tables/ for Switching execution with no index; agents repeat discovery,medium,NO,YES,NO,Maintain system_health.md with last-reviewed dates and pointers to authoritative rows only
documentation,docs/repo_context_infra.md describes fingerprints timeout post-checks run_dir_pointer discovery that do not match minimal run_matlab_safe.bat,high,YES,YES,NO,Retag PART of repo_context_infra as aspirational or update to match code; cite actual bat behavior first
documentation,docs/repo_map.md references runs/fingerprints and results/README.md paths that may be missing or stale,medium,NO,YES,NO,Validate links in repo_map; mark legacy zones explicitly
documentation,Overlapping repository navigation: repo_map.md repository_map.md repository_structure.md,medium,NO,YES,NO,ESSENTIAL: one; others USEFUL with deprecation banner for duplicated tables
documentation,Large figure_repair document cluster is low value for Switching infra work,low,NO,YES,NO,Classify as OUT_OF_SCOPE for Switching infra; cross-link only
efficiency,Repeated Switching robustness canonical audits without single consolidated machine-readable contract file,medium,NO,YES,NO,Use canonical_state_freeze or infrastructure_broad_audit follow-up CSV as index; avoid new narrative-only audits
efficiency,repo_execution_rules master policy block duplicates AGENT_RULES and infrastructure_laws content,medium,NO,YES,NO,KEEP ESSENTIAL rules in one place; others USEFUL as abbreviated checklist
efficiency,Legacy vs canonical comparisons scattered across reports inflate token load,low,NO,YES,NO,Single switching_canonical_definition + boundary doc; defer legacy to archive pointer
guard_philosophy,Strict run_system MUST rules conflict with soft validator (FailValidation emits WARN and continues in validate_matlab_runnable.ps1),medium,YES,YES,NO,Target model: pre-run soft warnings; post-run classification; document failure buckets (NO_MATLAB NO_ENTRY NO_WRITE PARTIAL_OK)
guard_philosophy,ASCII pre-run STOP in repo_execution_rules vs non-blocking audit philosophy,medium,NO,YES,NO,Reserve hard STOP for non-ASCII and security; else warn and classify
guard_philosophy,ensureRunStatusFile in createRunContext can silently skip write if fopen fails (no error),low,YES,NO,NO,Post-run validation should flag missing run_status.csv when expected
parallel_readiness,repo-root run_dir_pointer.txt is a single shared file; concurrent agents overwrite each other's pointer,high,NO,NO,YES,Design run-scoped pointers or include run_id in filename; document exclusive lock or serial wrapper use
parallel_readiness,createRunContext makeUniqueRunId provides unique run dirs under results/Switching/runs (good isolation),low,NO,NO,NO,Preserve; document as primary parallel output isolation mechanism
parallel_readiness,Experiment string casing: createRunContext uses folder name from experiment param; run_minimal_canonical uses switching lowercase; paths are case-sensitive on some hosts,medium,YES,NO,YES,Standardize experiment key in docs/repo_context_minimal.md (single spelling)
parallel_readiness,Global tables/ and reports/ at repo root invite cross-agent contention if used,high,NO,NO,YES,Enforce run-scoped writes only; soft-warning if tooling touches global trees
minimal_package,No single minimal Switching infra context file existed before this audit,high,NO,YES,NO,ADD docs/repo_context_minimal.md (delivered)
minimal_package,Prompt templates RUN AUDIT FIX PLAN not yet present as repo files,medium,NO,YES,NO,ADD docs/templates/agent_prompt_*.md or reports section stubs; keep under 40 lines each
minimal_package,agent_warnings_log.csv and agent_runs_log.csv not present; no append-only agent activity trace,medium,NO,YES,YES,Define schemas in report; optional implementation later without blocking runs
