artifact_path,artifact_type,matched_terms,already_in_authoritative_index,already_in_quarantine_index,already_in_high_risk_hardening,declared_namespace,inferred_namespace,namespace_status,evidence_status,uses_canonical_S_long,uses_S_percent,uses_S_model_pt_percent,uses_CDF_pt,uses_PT_pdf,uses_old_run_ids,uses_results_old,mentions_phi_kappa,mentions_backbone,mentions_collapse_or_X,looks_final_or_publication,is_stale_or_superseded,ambiguity_level,risk_level,ambiguity_reason,recommended_action
Switching/analysis/run_switching_canonical_map_visualization.m,matlab_script,canonical;map,YES,NO,NO,see header,CANON_FIGURE_REPLAY,clear,FIGURE_REPLAY,YES,YES,VARIES,VARIES,VARIES,NO,NO,NO,NO,NO,NO,NO,LOW,LOW,Broad sweep header added 2026-04-29,NO_ACTION
Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m,matlab_script,canonical;PTCDF;collapse,YES,YES,YES,see header,CANON_COLLAPSE+EXPERIMENTAL,clear,DIAGNOSTIC_OVERLAY,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,MEDIUM,MEDIUM,PTCDF overlay semantics clarified,ADD_WARNING_HEADER
Switching/analysis/run_parameter_robustness_switching_canonical.m,matlab_script,canonical;robustness,PARTIAL,NO,NO,see header,LEGACY_ALIGNMENT_DIAGNOSTIC,clear,AUDIT_ROBUSTNESS,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,MEDIUM,MEDIUM,Name implies CANON_GEN producer chain,NO_ACTION
Switching/analysis/run_minimal_canonical.m,matlab_script,canonical,minimal,NO,NO,see header,INFRA_TEST,clear,SCAFFOLD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,LOW,False-positive canonical grep,NO_ACTION
scripts/tmp_run_switching_canonical_paper_figures.m,matlab_script,canonical;tmp,NO,NO,NO,see header,SCRATCH_FIGURE,clear,NON_CONTRACT,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,MEDIUM,Hardcoded paths tmp prefix,NO_ACTION
Switching/analysis/run_switching_backbone_validity_audit.m,matlab_script,backbone;PT_pdf;CDF_pt,YES,NO,NO,see header,DIAGNOSTIC_FORENSIC,clear,AUDIT_ONLY,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,MEDIUM,MEDIUM,Full PTCDF column audit,NO_ACTION
Switching/analysis/run_switching_phi2_replacement_audit.m,matlab_script,Phi2;canonical,NO,NO,NO,see header,DIAGNOSTIC_FORENSIC,clear,AUDIT_COMPARE,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,MEDIUM,MEDIUM,Canonical Phi2 wording in legacy comments,NO_ACTION
Switching/analysis/run_switching_geocanon_descriptor_audit.m,matlab_script,geocanon;descriptor,NO,NO,NO,see header,DIAGNOSTIC_FORENSIC,clear,DESCRIPTOR_AUDIT,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,MEDIUM,Descriptor promotion risk,NO_ACTION
reports/switching_corrected_canonical_current_state.md,governance_md,start here;authoritative,YES,YES,YES,multi,CORRECTED+CANON_GEN,clear,ENTRYPOINT,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NONE,NONE,Primary pointer,NO_ACTION
tables/switching_corrected_old_authoritative_artifact_index.csv,data_csv,authoritative;corrected,YES,YES,YES,CORRECTED_CANONICAL_OLD_ANALYSIS,clear,AUTHORITATIVE_INDEX,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NONE,NONE,Positive list,NO_ACTION
