variant_id,T_K,n_points,rmse_vs_mean_curve,mae_vs_mean_curve,max_abs_residual,x_grid_min,x_grid_max
PRIMARY,4,7,0.111972507771104,0.0974541299764284,0.195666804324549,-1.37686203515539,2.87251372230621
PRIMARY,6,7,0.0917160835419113,0.0765063519736496,0.180044455449831,-1.37686203515539,2.87251372230621
PRIMARY,8,7,0.0581835916027837,0.0412111493490783,0.154311969546305,-1.37686203515539,2.87251372230621
PRIMARY,10,7,0.0386059493353583,0.0268696784934398,0.114216617718854,-1.37686203515539,2.87251372230621
PRIMARY,12,7,0.0275287800586365,0.0182840430874741,0.0841167892059887,-1.37686203515539,2.87251372230621
PRIMARY,14,7,0.0214225485085871,0.0155642475220749,0.0617466956164013,-1.37686203515539,2.87251372230621
PRIMARY,16,7,0.0221169216752738,0.0169269640963565,0.0573199730036501,-1.37686203515539,2.87251372230621
PRIMARY,18,7,0.0330119495182437,0.0231736045544684,0.0886445845130015,-1.37686203515539,2.87251372230621
PRIMARY,20,7,0.0599815627225808,0.0513696293481809,0.113036915368049,-1.37686203515539,2.87251372230621
PRIMARY,22,7,0.137885198390333,0.119734842280902,0.231311780294639,-1.37686203515539,2.87251372230621
PRIMARY,24,7,0.0321819818283705,0.0263941305747164,0.0609315915038806,-1.37686203515539,2.87251372230621
PRIMARY,26,7,0.164525881834886,0.137163294246157,0.359091938401651,-1.37686203515539,2.87251372230621
PRIMARY,28,6,0.0662351286631317,0.0436273939330605,0.174002697865329,-1.37686203515539,2.87251372230621
PRIMARY,30,6,0.0288642917792044,0.0199856670581145,0.0744908814209119,-1.37686203515539,2.87251372230621
PRIMARY,NaN,96,0.0766515107719489,0.0492764515091687,0.359091938401651,-1.37686203515539,2.87251372230621
G014,4,7,0.0338786765251567,0.0309478285180823,0.0552262228940235,-2.70200130488853,4.34569592121503
G014,6,7,0.0273170353087912,0.0246373314861414,0.0509421691587317,-2.70200130488853,4.34569592121503
G014,8,7,0.0154482019192334,0.0122114099607204,0.0378623848037152,-2.70200130488853,4.34569592121503
G014,10,7,0.0098707428443124,0.00796688958004523,0.0267116255267124,-2.70200130488853,4.34569592121503
G014,12,7,0.00651816855064967,0.00548369513858308,0.0127209180339727,-2.70200130488853,4.34569592121503
G014,14,7,0.00660608068508385,0.00572533838970361,0.0129030807036005,-2.70200130488853,4.34569592121503
G014,16,7,0.00714878500515661,0.00554484636761195,0.0165630622906235,-2.70200130488853,4.34569592121503
G014,18,7,0.0139519914234997,0.0114538664670874,0.0320374156435413,-2.70200130488853,4.34569592121503
G014,20,7,0.0207392965157211,0.0184628547267679,0.0448400783399366,-2.70200130488853,4.34569592121503
G014,22,7,0.0476244022458814,0.0420805245075774,0.0807385514539513,-2.70200130488853,4.34569592121503
G014,24,7,0.0114133170470639,0.00931690093986938,0.0262041246973498,-2.70200130488853,4.34569592121503
G014,26,7,0.0531997470528623,0.0459168157172772,0.105414104102494,-2.70200130488853,4.34569592121503
G014,28,6,0.0222618654432684,0.0191811999391764,0.0435513113160453,-2.70200130488853,4.34569592121503
G014,30,6,0.033964481053911,0.0213850358253521,0.101954023228091,-2.70200130488853,4.34569592121503
G014,NaN,96,0.0269817360048985,0.0188265106298514,0.105414104102494,-2.70200130488853,4.34569592121503
G254,4,7,0.0324242114319559,0.029160815052736,0.0526611357034483,-2.70200130488853,4.34569592121503
G254,6,7,0.0262096373837153,0.0229540494884597,0.0478512108796133,-2.70200130488853,4.34569592121503
G254,8,7,0.0155878943491723,0.0120891915841587,0.0347714265245968,-2.70200130488853,4.34569592121503
G254,10,7,0.0116190571011582,0.00901533454164489,0.025918975612656,-2.70200130488853,4.34569592121503
G254,12,7,0.00648997188290932,0.00570805680906002,0.010119821391095,-2.70200130488853,4.34569592121503
G254,14,7,0.00470306953382555,0.00374240730148995,0.0112076105330478,-2.70200130488853,4.34569592121503
G254,16,7,0.00632723975494444,0.00511602425265404,0.0196540205697419,-2.70200130488853,4.34569592121503
G254,18,7,0.0144844175605804,0.0123440046667726,0.0351283739226597,-2.70200130488853,4.34569592121503
G254,20,7,0.0180137008666621,0.0148808858109195,0.0433743587306128,-2.70200130488853,4.34569592121503
G254,22,7,0.0181557621560542,0.0146439504838877,0.0405709950003641,-2.70200130488853,4.34569592121503
G254,24,7,0.0108097443827657,0.00876788967388083,0.0292950829764682,-2.70200130488853,4.34569592121503
G254,26,7,0.0241616362502085,0.0184602268118609,0.0556763593506043,-2.70200130488853,4.34569592121503
G254,28,6,0.023674720064463,0.0201140575188331,0.0466422695951637,-2.70200130488853,4.34569592121503
G254,30,6,0.0337956394046268,0.0217706684322999,0.10504498150721,-2.70200130488853,4.34569592121503
G254,NaN,96,0.0199180828714328,0.0142373413821281,0.10504498150721,-2.70200130488853,4.34569592121503
