analysis_group,metric_name,domain_name,observed_value,null_mean,null_p95,p_value,verdict,detail
rank3_significance,sigma1_after_phi2,full,0.0745993010565049,0.0773498843561918,0.0831025230609563,0.816367265469062,NO,Top singular value of the level-2 residual.
rank3_significance,energy_fraction_after_phi2_mode1,full,0.435628691386822,NaN,NaN,NaN,YES,Energy fraction carried by the diagnostic Phi3 candidate within the after-phi2 residual.
rank3_significance,rmse_gain_fraction_after_phi2_full,full,0.252961962236224,-0.0664593969164305,0.155367576183514,0.00199600798403194,YES,Full-domain incremental RMSE gain from adding the diagnostic Phi3 layer.
rank3_significance,rmse_gain_fraction_after_phi2_high_5_7,high_5_7,0.0953245083365597,NaN,NaN,NaN,NO,High-rank D4 window incremental RMSE gain from the diagnostic Phi3 layer.
rank3_localization,phi3_energy_fraction,full,1,1,1,1,NO,Full canonical current domain.
rank3_localization,phi3_energy_fraction,low_1_3,0.872421695126384,0.410135246246913,0.970876981509881,0.375249500998004,NO,D4 low-rank window.
rank3_localization,phi3_energy_fraction,mid_3_5,0.0717278393512727,0.407149065089859,0.969861520880611,0.578842315369261,NO,D4 mid-rank window.
rank3_localization,phi3_energy_fraction,high_5_7,0.114870651083079,0.456572121701362,0.969804526937255,0.499001996007984,NO,D4 high-rank window.
rank3_localization,phi3_energy_fraction,win_1_3,0.872421695126384,0.410135246246913,0.970876981509881,0.375249500998004,NO,D4 sliding window 1:3.
rank3_localization,phi3_energy_fraction,win_2_4,0.0862279711565615,0.39601511450483,0.963203186032166,0.49500998003992,NO,D4 sliding window 2:4.
rank3_localization,phi3_energy_fraction,win_3_5,0.0717278393512727,0.407149065089859,0.969861520880611,0.578842315369261,NO,D4 sliding window 3:5.
rank3_localization,phi3_energy_fraction,win_4_6,0.110269599269523,0.450526507335497,0.972384916399756,0.500998003992016,NO,D4 sliding window 4:6.
rank3_localization,phi3_energy_fraction,win_5_7,0.114870651083079,0.456572121701362,0.969804526937255,0.499001996007984,NO,D4 sliding window 5:7.
rank3_localization,phi3_energy_fraction,tail_cdf_ge_0p80,0.114870651083079,0.301208466497208,0.942313884026792,0.325349301397206,NO,Canonical tail region from mean CDF_pt >= 0.80.
rank3_structure,phi3_total_variation,full,1.8082811492479,2.04300350911919,1.31426740335262,0.263473053892216,NO,Lower total variation than null indicates smoother structure than randomized residual residue.
rank3_structure,abs_kappa3_lag1_corr,temperature,0.244611653165973,0.141160506155904,0.318259643532077,0.191616766467066,NO,Temperature coherence of diagnostic Phi3 amplitude.
rank3_observable_linkage,tail_burden_after_phi2,temperature,0.129411764705882,0.201158823529412,0.480882352941177,0.634730538922156,NO,Spearman linkage between diagnostic Phi3 amplitude and canonical observable/control.
rank3_observable_linkage,global_residual_after_phi2,temperature,-0.0411764705882353,0.217735294117647,0.507352941176471,0.874251497005988,NO,Spearman linkage between diagnostic Phi3 amplitude and canonical observable/control.
rank3_observable_linkage,peak_residual_after_phi2,temperature,-0.0529411764705882,0.208864705882353,0.523529411764706,0.838323353293413,NO,Spearman linkage between diagnostic Phi3 amplitude and canonical observable/control.
rank3_observable_linkage,S_peak,temperature,-0.391176470588235,0.210905882352941,0.504411764705882,0.139720558882236,NO,Spearman linkage between diagnostic Phi3 amplitude and canonical observable/control.
rank3_observable_linkage,I_peak,temperature,-0.124273288631868,0.217000784049447,0.502816266503941,0.682634730538922,NO,Spearman linkage between diagnostic Phi3 amplitude and canonical observable/control.
rank3_observable_linkage,kappa2,temperature,0.458823529411765,0.203052941176471,0.517647058823529,0.0778443113772455,PARTIAL,Spearman linkage between diagnostic Phi3 amplitude and canonical observable/control.
rank3_observable_linkage,kappa3_producer,temperature,0.991176470588235,0.215929411764706,0.501470588235294,0.00199600798403194,YES,Spearman linkage between diagnostic Phi3 amplitude and canonical observable/control.
