T_K,current_mA,x_aligned,S_mode1_reconstruction
4,15,-0.93135451543953,NaN
4,20,-0.698515886579647,NaN
4,25,-0.465677257719765,0.130865569584806
4,30,-0.232838628859882,0.244591636531
4,35,0,0.330273373798229
4,45,0.465677257719765,NaN
6,15,-0.944849154832431,NaN
6,20,-0.708636866124323,NaN
6,25,-0.472424577416215,0.128524927958023
6,30,-0.236212288708108,0.242881839449868
6,35,0,0.329290043335191
6,45,0.472424577416215,NaN
8,15,-0.993754254510402,NaN
8,20,-0.745315690882802,NaN
8,25,-0.496877127255201,0.114623253010409
8,30,-0.248438563627601,0.223864499213333
8,35,0,0.309000223261553
8,45,0.496877127255201,NaN
10,15,-1.05831864916208,NaN
10,20,-0.793738986871557,NaN
10,25,-0.529159324581038,0.0961456321499525
10,30,-0.264579662290519,0.191313014956993
10,35,0,0.268177331714923
10,45,0.529159324581038,NaN
12,15,-1.14225664222237,NaN
12,20,-0.856692481666781,NaN
12,25,-0.571128321111187,NaN
12,30,-0.285564160555594,0.162898315855878
12,35,0,0.235362743193882
12,45,0.571128321111187,NaN
14,15,-1.21041196371185,NaN
14,20,-0.907808972783887,NaN
14,25,-0.605205981855925,NaN
14,30,-0.302602990927962,0.130870224384255
14,35,0,0.193663711922803
14,45,0.605205981855925,NaN
16,15,-1.30226985635963,NaN
16,20,-0.976702392269726,NaN
16,25,-0.651134928179817,NaN
16,30,-0.325567464089909,0.108607400100538
16,35,0,0.164633304534238
16,45,0.651134928179817,NaN
18,15,-1.37686048272729,NaN
18,20,-1.03264536204546,NaN
18,25,-0.688430241363643,NaN
18,30,-0.344215120681821,0.0952113713724558
18,35,0,0.146424999278997
18,45,0.688430241363643,NaN
20,15,-1.32684065970518,NaN
20,20,-0.995130494778882,NaN
20,25,-0.663420329852588,NaN
20,30,-0.331710164926294,0.083402766926562
20,35,0,0.12449084624858
20,45,0.663420329852588,NaN
22,15,-0.87139894386448,NaN
22,20,-0.580932629242987,NaN
22,25,-0.290466314621493,0.0593295769738741
22,30,0,0.0845818720549767
22,35,0.290466314621493,0.0699880912444564
22,45,0.87139894386448,NaN
24,15,-1.19990400767939,NaN
24,20,-0.799936005119591,NaN
24,25,-0.399968002559795,0.0599126731464312
24,30,0,0.105907370479676
24,35,0.399968002559795,0.0500874661202702
24,45,1.19990400767939,NaN
26,15,-1.14502942725628,NaN
26,20,-0.763352951504187,NaN
26,25,-0.381676475752094,0.0581907320962341
26,30,0,0.0850917919871311
26,35,0.381676475752094,0.0428676542442849
26,45,1.14502942725628,NaN
28,15,-0.973302317432818,NaN
28,20,-0.486651158716409,0.0402945330118184
28,25,0,0.0922689090068077
28,30,0.486651158716409,NaN
28,35,0.973302317432818,NaN
28,45,1.94660463486564,NaN
30,15,-0.574501332843092,NaN
30,20,0,0.0655299872143941
30,25,0.574501332843092,NaN
30,30,1.14900266568618,NaN
30,35,1.72350399852928,NaN
30,45,2.87250666421546,NaN
