key,value
NAMESPACE_CONFUSION_REMEDIATION_COMPLETE,YES
SWITCHING_ONLY,YES
NO_PHYSICS_ANALYSIS_RUN,YES
NO_SCIENTIFIC_ARTIFACTS_RECOMPUTED,YES
NO_FIGURES_REGENERATED,YES
PHYSICS_LOGIC_CHANGED,NO
FILES_DELETED,NO
CORRECTED_OLD_AUTHORITATIVE_INDEX_CREATED,YES
BACKBONE_FAMILY_TREE_CREATED,YES
STALE_GOVERNANCE_SUPERSESSION_CREATED,YES
S_LONG_COLUMN_NAMESPACE_CREATED,YES
QUARANTINE_INDEX_CREATED,YES
TASK_ID_ALIGNMENT_CREATED,YES
CURRENT_STATE_ENTRYPOINT_CREATED,YES
HIGH_RISK_ARTIFACT_HEADERS_ADDED,YES
EXPERIMENTAL_PTCDF_STILL_BLOCKED_AS_MANUSCRIPT_EVIDENCE,YES
CORRECTED_OLD_AUTHORITATIVE_PATH_CLEAR,YES
W_WIDTH_ALLOWED_AS_ALIGNMENT_INPUT_ONLY,YES
W_WIDTH_BLOCKED_AS_UNIVERSAL_CANONICAL_COORDINATE,YES
TASK002_COLLISION_RESOLVED,PARTIAL
SAFE_TO_RESUME_TASK002_VISUAL_QA_REFINEMENT,YES
HIGH_RISK_HEADER_HARDENING_PASS_2026_04_29,YES
BROAD_ARTIFACT_AMBIGUITY_SWEEP_2026_04_29,YES
FINAL_GOVERNANCE_MICRO_PASS_2026_04_29,YES
AUTHORITATIVE_INDEX_GAPS_CLOSED_POST_SWEEP,YES
QUARANTINE_INDEX_GAPS_CLOSED_POST_SWEEP,YES
HISTORICAL_DIAGNOSTIC_INVENTORY_CLOSED_POST_SWEEP,YES
