T_K,R,spread90_50,kappa1,alpha,kappa1_sq,alpha_sq,kappa1_alpha,log_kappa1,alpha_over_kappa1,kappa1_over_abs_alpha,transition_indicator,isfinite_row
6,9.55842193548671,10.4147583748364,0.190781377067108,-0.322826383381165,0.036397533835622,0.104216873806963,-0.0615892619750528,-1.65662712920166,-1.6921273362421,0.590972073189725,0,1
8,5.10324271265972,10.3972726204107,0.19690765457114,-0.252873820606648,0.0387726244287074,0.0639451691482032,-0.0497927909180983,-1.6250204186679,-1.28422544647846,0.778679477767828,0,1
10,2.28094749153087,10.5657782713878,0.17710703759542,-0.142556918673,0.0313669027658255,0.0203224750615403,-0.0252478335549062,-1.73100099700761,-0.804919559428544,1.24236016914529,0,1
12,0.800786706765585,10.5066975999028,0.15269503326033,0.315507089215186,0.0233157731823733,0.0995447233450393,0.0481763654815827,-1.87931259341404,2.06625639667845,0.483967043783879,0,1
14,0.372010793029286,10.6588524255781,0.12447122604336,0.480464779904895,0.0154930861127372,0.230846404729059,0.0598040402254154,-2.08368070590641,3.86004697774507,0.259064204597886,0,1
16,0.703870184987391,10.5972134710251,0.107134927362003,0.706471460120773,0.0114778926608617,0.499101923965177,0.0756877685633672,-2.23366623553404,6.59422167463319,0.151647919851834,0,1
18,1.50561531730532,10.5323657232522,0.0980185873442758,0.856656351459244,0.00960764346496742,0.733860104495464,0.0839682454095365,-2.32259815151771,8.73973370428575,0.114419962190567,0,1
20,3.19806276575443,10.2574988028397,0.0898318457622685,0.507430636294838,0.008069760513056,0.257485850650584,0.0455834306546877,-2.40981573667093,5.64867204930538,0.177032759429355,0,1
22,7.00173291822134,8.3351306980324,0.0382966167716672,2.71697214858441,0.00146663085615594,7.38193765618338,0.10405084115363,-3.26239372164071,70.9454875553,0.0140953291669259,1,1
24,35.1894881379254,7.0000670702152,0.0699734936967039,2.32146130117818,0.00489628982012266,5.38918257286789,0.162440757725133,-2.6596387701188,33.1762954589694,0.0301420030827958,1,1
26,91.9735525900868,3.5,0.0640590044738315,0.216654507664813,0.00410355605417836,0.0469391756914825,0.013878672075776,-2.74795067544902,3.38210856450817,0.29567353647189,0,1
