RISK_ID,CATEGORY,SEVERITY,SECOND_ORDER_EFFECT,EVIDENCE_SUMMARY
FB1,FALSE_BLOCKING,HIGH,Same scientific run may succeed on one path and hard-fail on another; operators blame enforcement instead of path setup.,createSwitchingRunContext compares repoRoot to path derived from which(createRunContext); strict string match after lower/replace can fail for equivalent roots (junctions symlinks worktrees drive-letter casing).
FB2,FALSE_BLOCKING,MEDIUM,A script that opts into assertModulesCanonical fails while sibling scripts that skip it still run; looks like flaky blocking.,Only Switching/analysis/analyze_phi_kappa_canonical_space.m calls assertModulesCanonical; registry edit or missing tables/module_canonical_status.csv blocks this file only.
FB3,FALSE_BLOCKING,LOW,Pre-exec guard exit 2 logged as failure though intent was valid; masks real MATLAB issues in triage.,tools/pre_execution_guard.ps1 exits 2 when path not a leaf .m; batch path resolution edge cases (see repo_execution_rules CMD path rules).
PE1,PARTIAL_ENFORCEMENT,CRITICAL,Stakeholders assume cross-module policy is enforced everywhere; unguarded paths silently violate the same policy.,tables/module_enforcement_status.csv CROSS_MODULE_PROTECTION_ACTIVE=YES but assertModulesCanonical has a single callsite; run_switching_canonical.m does not call it.
PE2,PARTIAL_ENFORCEMENT,HIGH,Data aggregation appears curated while mixed-quality runs remain in tree.,tools/load_observables.m filters by per-run CANONICAL via get_run_status_value not module_canonical_status.csv.
PE3,PARTIAL_ENFORCEMENT,MEDIUM,Validator and wrapper disagree; governance runs pass exit 0; docs/repo_execution_rules optional validate_matlab_runnable.ps1 not on wrapper path.,reports/overblocking_audit.md; docs/repo_execution_rules.md
SD1,STATE_DESYNC,HIGH,Lock tables say closed system; runtime only checks subsets.,tables/switching_entrypoint_lock_status.csv is declarative; no job verifies agents use tables/switching_canonical_entrypoint.csv at runtime.
SD2,STATE_DESYNC,HIGH,module_canonical_status STATUS does not propagate to run_manifest or execution_status.,assertModulesCanonical reads CSV only at opt-in callsites; writeSwitchingExecutionStatus has no MODULE column.
SD3,STATE_DESYNC,MEDIUM,Relaxation NON_CANONICAL in registry while many Switching/analysis scripts touch Relaxation naming or paths without assertModulesCanonical.,tables/module_canonical_status.csv; grep and docs in reports/system_realign_survey.md
SC1,SCALABILITY,MEDIUM,Each new module adds manual CSV rows and social process; drift if not updated with new scripts.,assertModulesCanonical requires MODULE row per name; O(n) linear scan per call.
SC2,SCALABILITY,MEDIUM,Per-experiment createXRunContext pattern duplicates beforeManifestWrite hooks; N modules imply N parallel helpers or merge conflicts.,createSwitchingRunContext.m pattern vs Aging createRunContext extension point.
SO1,SECOND_ORDER,CRITICAL,Organizational: teams optimize to the unenforced path (skip assert) to ship; enforced path becomes rarely exercised and rots.,Single callsite vs 100+ analysis scripts under Switching/analysis (see reports/infra_consistency_audit.md).
SO2,SECOND_ORDER,HIGH,False confidence: CROSS_MODULE_PROTECTION_ACTIVE=YES reduces scrutiny on unguarded cross-module reads.,tables/module_enforcement_status.csv vs sparse enforcement.
