T_K,n_source_current_points,n_finite_source_S,I_peak_mA,width_for_alignment_mA,x_min_supported,x_max_supported,n_finite_aligned_x_points,fraction_finite_aligned_x_points,finite_support_status,notes
4,6,6,35,21.4741266295253,-0.931353360490178,0.465676680245089,72,0.327272727272727,marginal,Six finite currents; on the common 220-point x_grid only ~33% of bins lie inside this row hull because warm T widen global minX/maxX (mask loss not loss of source points).
6,6,6,35,21.1673597661233,-0.944850950755249,0.472425475377624,73,0.331818181818182,marginal,Same structural mask effect as T=4.
8,6,6,35,20.1257057835343,-0.993753968934737,0.496876984467368,77,0.35,marginal,
10,6,6,35,18.8978502373664,-1.05832143597235,0.529160717986174,82,0.372727272727273,marginal,
12,6,6,35,17.5091523375039,-1.14225975161349,0.571129875806746,88,0.4,marginal,
14,6,6,35,16.5232967451266,-1.21041220214718,0.605206101073589,94,0.427272727272727,marginal,
16,6,6,35,15.3577651079767,-1.3022728150473,0.651136407523649,101,0.459090909090909,marginal,
18,6,6,35,14.52578362199,-1.37686203515539,0.688431017577696,107,0.486363636363636,marginal,Global minX is set by this row among all T.
20,6,6,35,15.0734059235043,-1.3268401382871,0.663420069143549,103,0.468181818181818,marginal,
22,6,6,30,17.2137025922607,-0.871398812638021,0.871398812638021,89,0.404545454545455,marginal,I_peak shifts to 30 mA; hull still narrow on union grid.
24,6,6,30,12.5009863451299,-1.19990531833863,1.19990531833863,123,0.559090909090909,adequate,W narrower at high T; larger share of global bins inside hull.
26,6,6,30,13.1001148695521,-1.14502812756732,1.14502812756732,118,0.536363636363636,adequate,
28,6,6,25,10.2742671408049,-0.973305430251504,1.94661086050301,151,0.686363636363636,adequate,Helps set global maxX extent with T=30.
30,6,6,20,8.70317861525431,-0.574502744461243,2.87251372230621,178,0.809090909090909,adequate,Warmest T drives largest positive x on common grid; highest per-row finite fraction on aligned matrix.
