file_path,has_time_axis,has_signal,signal_varies_with_time,valid_relaxation
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation\tables\observable_mode_correlations.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation\tables\observable_mode_joined_table.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\observables.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\observable_matrix.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\observable_mode_correlations.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\svd_mode_coefficients.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation\tables\svd_singular_values.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\observables.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\DeltaM_map.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\T_axis.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\observable_matrix.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\observable_mode_correlations.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_U.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_V.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_mode_coefficients.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\svd_singular_values.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export\tables\tw_axis.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\observables.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\DeltaM_map.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\T_axis.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\observable_matrix.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\observable_mode_correlations.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\svd_U.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\svd_V.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\svd_mode_coefficients.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\svd_singular_values.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export\tables\tw_axis.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\observables.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\DeltaM_map.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\T_axis.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\observable_matrix.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\observable_mode_correlations.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\svd_U.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\svd_V.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\svd_mode_coefficients.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\svd_singular_values.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export\tables\tw_axis.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export\observables.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export\tables\DeltaM_map.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export\tables\T_axis.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export\tables\observable_matrix.csv,YES,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export\tables\observable_mode_correlations.csv,NO,NO,NO,NO
C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export\tables\svd_U.csv,NO,NO,NO,NO
